# κ ΔE g
1.949607082081959621e-03 9.359231239598397867e-01 6.816448240011626150e-03
2.370472195783337663e-03 5.915941040018218855e-01 9.293673704153381995e-03
2.763024886577338229e-03 7.542079775182294332e-01 4.423098140604986295e-03
8.801542926769132663e-03 1.139413781497235156e+00 5.837820813947849734e-03
2.476188715991955655e-03 6.749043623182245932e-01 4.113429097686286187e-03
9.243611964239362502e-03 6.490523161377870220e-01 1.157888259973443093e-03
3.084534407028947760e-03 1.491677944858480043e+00 3.870473879091226171e-03
2.626601550849062220e-03 1.102418986190161876e+00 3.667037449019835364e-03
2.383076924477043994e-03 1.328179930294568045e+00 7.678693603116264720e-03
1.309789575332882686e-03 8.437315954505673066e-01 8.643819859936591188e-03
9.926957753474945773e-04 7.249028239536809970e-01 8.795123800940924871e-03
8.128572192248412209e-03 9.333904050827611654e-01 1.985372432362588879e-03
9.444052149409676994e-03 1.388552212535603569e+00 9.175921924514556568e-04
9.734662763606511185e-03 1.039612463594076885e+00 1.468520230053605357e-03
9.086454735262003077e-03 6.256053084418542465e-01 2.495961944397809620e-03
3.869794079754752900e-03 1.299089684580401638e+00 2.953359078482494394e-03
4.254370569605639071e-03 1.148135469631097472e+00 7.168093369480660858e-03
8.735164461234566288e-03 7.741654261485507726e-01 1.284479743887792340e-03
4.824831905531756261e-03 8.576432463045232657e-01 6.327679459733350463e-03
2.089366215316048464e-03 8.069001407356876099e-01 8.652873875211657215e-04
8.551428622839125568e-03 6.641815756158562234e-01 1.575298454003209525e-03
6.321170434769243915e-04 5.997276117021579367e-01 1.959330587392719113e-03
3.081861205927615647e-03 7.496525862849725552e-01 8.034894840658468942e-03
4.645110060876589397e-03 5.394016149143472383e-01 8.623565439527462739e-03
7.107941353215914415e-03 9.578722947552654743e-01 7.455439931768784861e-03
3.934064840464887060e-03 8.220546516301194817e-01 3.598723211437660201e-03
6.393040824409690695e-03 5.189822325201171038e-01 2.311614337137964277e-03
4.440100182976083713e-03 1.295575253653666437e+00 4.121976181387991718e-03
2.726393741883096754e-03 9.909288408902926504e-01 2.861332181696056055e-03
4.313076024250099214e-03 1.144335479203770323e+00 9.935169878046205827e-03
2.384275652459525580e-03 9.445630879666433444e-01 4.988146788670726542e-03
2.705993098248306479e-03 1.093536894197124631e+00 9.215041511778159986e-03
9.500449643308161302e-03 6.435936323392772440e-01 6.126721742604046735e-03
6.161058551830965978e-03 5.527524510331067731e-01 4.362664439885756765e-03
5.923299655723014007e-03 1.161601683991620337e+00 9.317081937894816993e-03
6.872302496674167344e-03 1.394617732562104973e+00 6.684860399006484905e-03
5.366481003888045036e-04 1.343745148438181047e+00 1.168768949984105420e-03
4.640973416185881391e-03 1.460062501882735564e+00 9.562599685403794236e-03
5.793235973214400439e-03 1.201450462918589590e+00 6.111362740632496696e-03
3.775064971793574281e-03 9.602229488088191989e-01 9.485961282862180946e-03
8.226142520563632654e-03 9.005347950120560219e-01 4.032160242283455362e-03
1.011403381716936210e-04 1.189231117323128029e+00 4.769238417043228590e-04
6.776705055862549017e-03 1.151013131404409862e+00 3.115792911473144614e-04
6.252225212616107156e-03 1.227631771081516776e+00 6.911256912847523436e-03
7.895669675264173695e-03 9.211087750168187593e-01 2.582712719314796991e-03
5.532789652332521096e-03 1.112263257990948384e+00 6.748770153717791390e-03
6.626448697329877062e-03 1.085396454057922178e+00 5.028763465214712135e-04
5.669541188617195811e-03 8.454761015722883633e-01 5.394620545939336417e-03
7.601529318557391501e-03 1.307709268016659987e+00 5.350588182063742426e-03
7.241478401287858822e-03 5.759617897741931003e-01 7.466579952354114938e-03
9.495209582395164327e-03 1.372339054889052612e+00 4.455955076929557501e-03
3.552590727710426858e-04 5.293371927182578540e-01 9.896217230584041999e-03
8.701935707703046391e-03 6.884263625168904888e-01 3.105138158679931516e-03
3.826326307043057331e-03 1.012145713087638565e+00 4.662808998532245661e-03
5.625545768143939106e-03 1.182353690247358369e+00 7.572339603853539200e-03
6.673422359844917787e-03 1.482730201298213535e+00 9.927852375641190927e-03
2.857093183624162102e-03 5.635995426673217068e-01 7.326126658872536036e-03
3.626583256382879508e-04 6.966426608661461239e-01 8.758208133775789023e-03
1.103781908584587634e-03 1.342260415119589823e+00 8.358555919860850836e-03
6.753228873694949730e-03 5.037832704942312168e-01 7.080347754102825179e-03
7.500357343982425040e-03 1.464635583351994175e+00 8.577331634732266634e-04
7.617383519471339348e-03 1.343920702093770458e+00 4.302845297942413383e-03
4.274733536385590636e-03 1.345399864029084513e+00 5.152923378748063520e-03
3.694218892209747904e-03 5.866232921726514116e-01 7.696889826753644005e-03
3.939986751278251771e-03 5.397127498762509523e-01 5.180610713420849729e-03
8.907015961209373278e-03 8.669931320433547084e-01 6.508334173044714142e-03
1.333546071263961219e-03 1.097027052429438321e+00 5.717847343348119761e-03
6.530158840062644764e-03 1.177262547126565417e+00 4.244211121944806153e-03
7.220061157679640886e-03 1.167814565349648781e+00 9.905817841620654166e-03
4.217042484580777253e-03 1.309685214919970475e+00 1.220656589241793464e-03
3.667609782529318747e-03 1.029941801740327012e+00 5.155440538226914275e-03
2.997726299426140169e-03 1.073312665683391787e+00 2.090642677886124599e-03
5.214086313263553707e-03 9.800966590231178222e-01 9.678882170188363165e-03
5.701907462603994156e-03 1.381725115967760154e+00 5.159331087244064043e-03
6.981627973278595536e-03 6.689988938995681256e-01 1.857753375814715250e-03
9.715433363776304967e-03 8.763159123737889189e-01 3.792169541323121493e-03
8.761885685511611524e-03 6.611285060112334078e-01 4.021644759051272791e-03
3.696258779200469781e-03 6.056608951498102522e-01 8.139231210476256459e-03
5.275658517435799846e-03 5.367500506009146299e-01 1.851760310792626481e-03
3.322399352706176408e-04 9.603449989693751965e-01 2.439819682570803887e-03
3.122598044523001905e-03 1.114200631112006290e+00 4.189726184744508274e-03
3.732721529980808414e-03 1.486865179688180660e+00 9.632898348665027387e-04
7.741740073834412969e-03 1.185938805451439926e+00 9.605733184462122640e-03
5.265093335402970358e-03 1.199751773049764214e+00 4.213285234168113493e-03
8.963885131248950288e-04 1.263280767014560269e+00 5.984355554968761280e-03
5.442228735566335615e-03 1.112976000299763069e+00 7.179008390101482111e-03
5.298052363683054301e-03 1.083480154057671507e+00 3.136841900803344265e-03
1.731361754078441020e-03 6.190592070159596227e-01 8.698694737771824406e-03
1.297757332590602488e-03 1.106455801325982646e+00 6.903347727793971572e-03
5.966232181827361026e-04 1.434285828835565768e+00 4.040807836925507622e-04
7.908513114858297180e-03 1.352727658499816243e+00 9.475212947378956752e-03
4.573831766172192304e-04 8.030266321061326762e-01 2.855532062043323856e-04
1.347974803253203365e-03 1.206579662176232803e+00 5.493834860553790944e-03
9.659664389301204218e-03 9.976050355924805935e-01 5.026104637788809601e-03
1.519471989238284490e-03 1.369187811300290658e+00 8.315183567907922374e-03
2.294359246377465460e-03 7.722238000744793274e-01 5.119837334012572287e-03
5.932931741953729153e-04 1.286853793226055975e+00 1.009723569335944406e-03
1.982267262144333381e-03 1.390655874455359875e+00 9.626165290203547720e-03
2.861352692107964422e-03 1.249350425576866375e+00 5.475286277275896035e-03
9.579263423607124392e-03 5.622013575425933718e-01 5.193128503521668785e-03
4.657938632010538010e-03 1.270117432791861845e+00 4.467481600532012282e-04
7.218754167390476449e-03 7.372501121550166792e-01 4.620409732633463246e-03
3.434827977276234761e-04 1.475178650970213834e+00 5.813753273302134676e-04
5.171065005513498375e-03 1.184390328197481468e+00 7.299754576354299668e-03
5.341858240056441415e-03 7.939550946605486992e-01 4.506430231495252292e-03
9.212375573935832965e-03 1.162990777744795867e+00 7.430600264851441872e-03
6.430972683925431990e-03 1.158279747429040718e+00 5.240016507970943205e-03
7.232976633496247983e-03 5.607588436687833688e-01 4.984903181859294714e-03
5.487067453847373731e-03 5.062229658288710521e-01 9.925210252965426666e-03
9.477847905997533254e-03 1.224053981036941519e+00 4.875204791850535832e-03
2.438640375018584494e-03 5.198230067726712367e-01 1.406606632577214917e-03
6.707075261343706067e-03 1.286075281837917750e+00 5.002192528964572588e-03
2.965305458487152435e-03 9.556829655400670420e-01 6.877433762469288732e-03
1.456515834066952246e-03 1.219077483028046860e+00 9.800878438764053582e-03
4.365661380670062160e-03 8.293131094205163922e-01 3.771957508767792913e-03
4.333249283212959116e-03 1.425922564898439049e+00 5.632166555354116075e-03
6.945988739526898215e-03 6.264136042993391218e-01 9.190305229149705463e-03
1.294939225950853998e-04 9.417143034762633924e-01 4.472646036825363332e-03
3.162023992338861174e-03 1.368664115762135092e+00 4.878905666573021827e-03
2.561022828370261746e-03 7.662833445415995204e-01 1.307208855510112212e-03
9.470298882356946880e-04 1.268425723114512627e+00 9.468709488085775422e-03
5.629706591327775754e-03 1.127493246590966613e+00 6.290926023587388623e-03
4.414856273358598766e-03 1.409877241193305819e+00 6.307240623397075696e-03
7.837866478293393363e-03 7.682388405261886266e-01 5.824895196424105352e-03
9.112190718537671250e-03 1.062421248309886046e+00 8.161562618530720375e-03
8.822633011077935308e-03 1.411805294976687053e+00 4.193260181750227585e-03
3.402082411491040310e-03 1.174411160964724976e+00 4.270637828314680605e-03
2.136587165259372281e-03 1.199759734001748512e+00 7.261048354538054278e-03
5.726995113357098363e-03 1.045209902418932746e+00 9.282471160835838175e-03
8.410998294186860678e-04 1.165102705143059136e+00 3.051385517516156873e-04
2.754553812407318364e-03 7.161923130998406606e-01 6.927147700073294292e-03
6.607538451920192714e-03 5.287082713553563629e-01 1.439613776977192181e-03
8.307876498358337733e-03 5.793579603780576459e-01 5.292268455028164599e-03
9.079611613185524510e-03 1.233464786677533009e+00 4.874270329311404526e-03
8.283090551412212663e-03 1.484504445438973974e+00 4.915127612723066333e-04
9.738845791464582555e-03 8.869263040327377556e-01 2.576367311626689277e-03
3.464849573831782319e-03 9.025881499709151878e-01 9.871579048541495160e-04
6.791321941471495718e-03 7.868862210594262940e-01 8.071103615878719162e-03
9.863726755455701212e-03 1.209448384267686638e+00 5.165636502725023428e-03
2.400560913056566052e-04 6.370128913803475568e-01 1.974927308604053789e-03
1.460522507948176915e-03 9.526499443809105516e-01 5.068888067415814810e-03
8.967171926311839208e-03 1.481063748857918583e+00 6.525676763358761838e-03
6.739964071286380426e-04 5.024172062321871080e-01 4.662307594567205449e-03
2.179764151301905734e-03 1.069866929526097188e+00 7.463804807010484578e-03
1.131380209647453016e-03 1.355394881666658780e+00 7.477038701786506598e-03
4.545931229646185331e-03 1.324151257602554477e+00 8.011604231875614490e-03
1.634259001577359656e-03 9.497953147580059374e-01 7.359251549084989096e-03
5.832158492596342886e-04 1.319566231074595475e+00 7.046166502430810039e-03
5.774158317399054677e-03 1.440029883467731642e+00 7.137021993181189537e-03
9.176864419977646264e-03 5.891506062892514217e-01 5.995048096184886662e-03
9.533729212225455427e-03 9.327747871094898002e-01 8.159746936538949530e-03
7.547542071907882393e-03 5.746938556222961347e-01 9.607892673016609278e-03
1.837253080105001038e-03 1.077735157987638637e+00 2.140946967603399222e-03
2.615389968088277159e-03 8.217191928983222926e-01 6.150261862595645702e-03
5.921346436373499042e-03 5.257887881143156195e-01 7.625853818845287728e-03
8.473333549325555089e-03 8.883229413454601930e-01 8.461890788603780925e-03
6.142213298375808969e-03 8.814452363388125544e-01 7.985061284538994691e-03
8.355901718515036311e-03 5.886386057608010702e-01 3.703505203553861865e-03
3.182595379673184687e-03 7.801936482618279101e-01 4.835268191889838425e-03
9.662196967054715452e-03 8.874280107681196128e-01 7.563057937389395038e-03
4.231476623188224623e-03 1.070048388886722268e+00 1.148444727487994525e-03
5.210815458008179711e-03 6.793521582031424311e-01 4.966122883941594297e-03
7.171219029085323937e-03 7.679019054723262849e-01 4.847760448900322733e-03
5.512063894919021038e-03 1.094840836037497489e+00 9.232937661122158843e-03
7.043743949839979118e-03 1.086914686337859370e+00 4.975659647834613977e-04
7.766552279751690914e-03 8.958581918536187016e-01 8.769719612472795175e-03
3.211366898420449801e-03 7.377123984117753830e-01 3.277077409027525051e-04
9.959542955303928025e-03 1.107229431207406467e+00 2.386309413765723159e-03
4.168511980552096728e-03 1.428351996319580097e+00 6.064214308198884879e-03
6.618626539226596384e-03 9.004521628671400268e-01 3.218980101862111819e-04
5.078549456298473742e-03 5.692904768432937024e-01 7.520800642282852132e-03
2.049776014363496619e-03 1.450299762859446062e+00 5.175146231758771288e-03
1.973716917515561716e-03 1.086188379989399877e+00 2.842101736052655980e-03
6.170257579861155792e-03 1.209115132007787086e+00 3.289063904197489941e-03
5.778295824340845717e-03 9.295507928463689895e-01 9.589092208141032636e-03
9.643762660005460174e-03 6.505897428550284634e-01 4.470578632177178019e-03
9.195550669318805492e-03 1.484521537052183593e+00 5.572156633016388423e-03
7.649742909687961417e-03 7.774653263316039231e-01 3.994733953264982887e-03
2.249076030556441952e-03 1.117912686267380495e+00 9.446034964663491736e-04
7.976085643499716132e-03 8.262981794428472249e-01 9.289883403366377274e-03
8.440449785663266258e-03 1.129111286526056857e+00 9.652212788853350121e-04
4.383938210436283400e-03 1.042999157558364143e+00 6.195977327382764209e-03
7.956888679031609221e-04 7.607732049490152360e-01 6.434692051585384938e-03
5.253573185389387966e-03 5.824667973239311403e-01 5.826433667182341278e-03
3.024812031876638902e-03 5.279118073945919809e-01 8.594602392166007798e-03
7.860863557831341067e-03 5.491701901468242220e-01 3.831208331781531945e-03
8.177363896595754231e-03 6.500056945604018033e-01 1.704235497544080062e-03
8.561406886102932920e-03 1.292924924041766621e+00 7.420649148963846331e-04
7.711502680073431884e-03 1.087480611688443233e+00 3.587770633791286922e-03
6.858814107749655956e-03 1.225530658043446408e+00 8.234384223886764137e-03
7.585413244521993850e-03 1.449355768513446385e+00 2.609140138680180864e-03
9.834901852827742513e-03 1.038317732505022573e+00 9.520552311814173708e-04
1.067404062107018842e-03 7.399561732295317773e-01 6.137546464308306880e-03
5.222489030222952910e-03 6.023995603302542134e-01 5.788787574601612917e-03
8.618810078406476810e-03 1.321510048603268483e+00 4.546478109579122316e-03
4.906527480427972515e-03 5.641162529414422977e-01 9.610311872425744348e-03
8.103903342979570934e-03 1.490705077854187266e+00 8.281276382746659628e-03
7.835089998752811299e-03 1.237178559974794201e+00 5.066226694228338073e-03
4.472048411321177808e-03 1.492125747171370698e+00 1.991363677516152456e-03
8.134057099650713121e-03 1.369045362846876390e+00 2.276140557221353975e-03
4.709163915584136870e-03 1.435781044070826074e+00 7.560040709112393446e-03
2.019334513534924453e-03 8.298604505763449435e-01 2.553700401005115726e-03
3.064977095917913348e-03 5.963961176418066668e-01 9.179836937805475883e-03
5.794560014495262444e-03 7.684682196246016561e-01 5.360164237276171528e-03
6.579848689543517457e-04 8.373134374591085782e-01 6.611606166927734996e-04
1.011986916728442815e-03 5.791989215096735588e-01 8.485922303180012255e-03
7.209363476056104142e-03 9.164766092872758119e-01 8.121436833719253246e-04
2.823114736466100609e-03 1.101561503827111821e+00 3.647000266922269078e-03
5.372240253030938564e-03 1.237787166680626605e+00 9.490250173263249656e-03
6.483886904111425820e-03 1.318504467998462992e+00 7.303527258263838029e-03
9.535982594066883498e-04 9.157020234425968797e-01 7.538314270289032427e-03
6.370416276908447833e-03 1.255427233242207397e+00 7.221062578600185439e-03
5.570601663454779508e-03 5.646170406710544487e-01 7.310709794045141575e-03
5.450403922490760361e-03 7.827266219189499274e-01 2.264891532227147983e-03
7.473231328898481685e-03 6.440708652093134479e-01 6.082800768262816397e-03
1.978631188489420479e-03 8.432479044985026206e-01 1.921768391478908232e-03
6.268528551486730188e-04 1.186882318095348721e+00 6.677935477856688541e-03
8.502210228035839840e-03 7.191535112758755677e-01 7.409201813254128778e-03
8.558843285776508367e-03 1.452092561819541050e+00 4.301771113648895223e-03
5.461739342895985221e-03 6.729898369722349116e-01 8.011460802135073403e-03
1.324363381079995689e-04 7.969742151084633353e-01 5.013447327377236083e-04
2.383466746703805550e-04 1.030921535925490407e+00 4.457656936441136385e-03
9.623586703144480087e-03 5.466601097711313306e-01 1.740939089944763167e-03
2.808731451932942099e-03 7.353392366724645912e-01 4.672131683087413397e-03
6.182771067555252291e-03 5.296004020129139178e-01 4.968947421979420624e-03
8.515056428898038626e-03 7.424102177304185979e-01 4.265788331229269231e-03
3.246540858269689710e-03 1.446116415085499263e+00 8.762092639989423407e-03
8.570741720732715256e-04 1.226413658762236736e+00 1.383761880013815787e-03
5.229697716893681736e-03 8.329296792129732285e-01 8.086498892964442530e-04
3.765675126697717867e-03 1.052867090101972991e+00 6.424060812564437277e-03
9.735765737196476130e-03 5.904731207103334212e-01 2.045524344091663969e-03
3.826913052030581595e-03 5.172492105460202438e-01 4.357104227431388491e-03
1.047994703543760368e-03 8.773493796990688987e-01 4.840438789187149517e-03
1.935460988892323455e-03 6.696340236534672474e-01 4.024307806882416322e-03
7.826005808963983068e-03 1.184462982221949456e+00 9.128326969655700326e-03
9.169423775007137789e-03 1.493792256910064342e+00 8.441485520091950500e-04
4.985002158246737425e-03 8.118761216406744641e-01 5.226177092047228599e-03
7.827570391988545847e-04 7.036949721949881109e-01 5.130960125316456379e-03
3.917567359692211183e-03 7.273367678722812979e-01 2.662267974980383166e-03
2.666220250801614681e-03 5.535661534729720001e-01 2.863101893989938775e-03
4.336517342369971585e-03 9.000033947989093397e-01 8.705770268900285547e-03
2.465945705748037037e-03 1.347499470578577441e+00 1.966069705487731144e-03
3.517243974158693141e-03 1.315323697228656830e+00 5.901692800083385877e-03
2.334533422925096600e-03 1.400730710867710282e+00 4.869102425328423675e-03
2.442360304213182180e-03 1.231525220438133061e+00 6.827415718440425947e-03
5.065613263262235206e-04 1.226816379470785146e+00 1.022366253310113394e-04
1.324729244388666823e-03 8.903593219335583786e-01 7.636891586637734736e-03
2.072657851747176146e-03 1.141030129848804808e+00 4.315401700629578619e-03
7.196975805856728990e-03 7.282173045539793721e-01 2.208383979812073884e-03
9.627713498683038856e-03 8.594041531597499395e-01 9.451701092644657423e-03
8.160201542662736535e-03 8.100137415549434339e-01 1.904432607782987306e-03
3.294163624814388288e-03 7.372804756975105400e-01 9.474200168833775415e-03
8.916044047934069613e-03 8.060177204909184656e-01 8.615956870179655031e-03
9.159930451295587861e-03 1.422999869357246983e+00 6.590886111967809817e-03
2.593277888279820961e-03 1.084778346511073188e+00 5.352162137866867380e-04
3.787218157745242397e-03 9.807716148702545489e-01 5.928105306726743316e-03
6.404666175849713095e-03 8.202604440784484474e-01 3.221026648840589861e-03
7.272209116647365343e-03 1.216750427507848897e+00 9.689062878364011755e-03
2.305905532369505271e-03 5.436564960739370678e-01 2.084927429477983975e-04
1.029119586560095848e-03 1.231528348931912431e+00 8.314076330927839056e-03
9.927035590057625009e-03 1.435774721427101275e+00 9.429377523719761206e-03
8.298618586040501510e-03 6.107010435959536743e-01 9.194081192509659037e-03
2.521846750277515360e-03 1.491188769194679686e+00 6.212456617473713534e-03
9.063399454161657695e-03 9.410326140100010450e-01 4.235395509157325981e-03
1.854455785310953715e-03 1.202621689768390567e+00 3.667876659994742487e-03
4.482393971469849324e-03 5.067974626764973900e-01 6.548195731053784059e-03
8.781912079030954098e-04 1.392650375693619713e+00 5.450952243442958728e-03
5.677906180362750702e-03 5.607504925841234611e-01 1.147677644886535391e-03
7.034766759528314831e-03 1.155890466722152343e+00 6.409845170309999779e-04
1.375571748638522614e-03 1.391438178347670140e+00 1.491530262928780120e-03
2.620260443323163893e-03 1.230968952759042612e+00 5.052206709602843557e-03
4.335366811490310064e-03 1.340042356582686889e+00 9.683362957915392019e-03
5.837704627263892720e-03 1.327652432900395141e+00 6.007672381957537139e-03
3.680190447417504371e-03 1.270977062336864583e+00 7.333433342485574935e-03
5.312660454661631559e-03 1.314853152210096798e+00 3.071934823286332460e-03
3.734614516716870929e-03 5.315941761816358468e-01 3.738975011869572016e-03
5.082061326588423536e-03 1.151230364613183177e+00 1.700968400935289927e-03
9.349013942666136324e-04 1.317743181385958140e+00 4.068568765726834208e-03
8.326266235806043664e-03 6.654534861249460365e-01 7.456639601591750523e-03
9.856744595864809499e-03 5.575594516950173052e-01 5.856763425627012874e-03
1.909667869870583642e-03 1.452146999360417468e+00 2.492156278072762770e-04
5.552445602356414350e-03 1.323514581002881663e+00 6.823041568378836359e-03
3.922263679439961376e-03 1.446261603711628929e+00 1.075980585613723998e-03
8.186133559215049219e-03 8.042101814635779222e-01 2.570796080483823791e-03
4.662271077630111490e-03 6.298818842481094249e-01 2.352559171563038351e-04
8.145542064352495962e-03 1.250899028786397915e+00 4.836865091308395828e-03
8.007355372798211426e-03 1.390962613155442007e+00 4.149394698445427947e-04
8.341239934241366852e-03 1.220610805134314081e+00 2.489372251548708625e-03
8.757342944177083296e-03 8.009461755904395686e-01 5.608110868281145252e-03
6.985418229460485517e-03 1.144874449654757598e+00 1.783367090141743574e-03
7.332488065873573810e-03 1.314413621319723946e+00 3.410454594692616812e-04
3.997687135496683086e-03 6.632667522081977518e-01 8.240520903774223305e-03
1.441396542980995189e-03 6.573766757913606096e-01 3.223097023661201325e-03
5.326850011062519985e-03 1.286864157745259085e+00 5.909023619390798643e-04
1.365343132479042909e-03 1.444191062045722562e+00 1.374673386259851228e-03
3.957622100101904246e-03 8.997380232906778685e-01 9.954177768103016771e-03
9.797348361227264241e-03 6.837705330669688886e-01 4.788805198980609912e-03
7.758709710015681583e-03 1.144182983638552642e+00 5.035045813440458366e-03
1.462305036907844951e-03 6.545193126213700863e-01 7.317839103594661956e-03
8.601951945213343401e-03 1.289510148519663613e+00 9.414965856578388914e-03
9.363344602842544120e-03 9.389394712958625266e-01 4.856167638210406173e-03
8.492576587265500063e-03 5.691415564369946001e-01 4.244666031073249246e-03
9.627775412699343324e-03 1.322765176306028412e+00 1.452329475739152099e-03
