# ΔE ℽ g
1.210614571434112552e+00 4.505376474481277357e-03 7.792876270528835241e-03
1.451224534775773067e+00 6.299497104376643002e-03 6.577522894272806557e-03
1.006802422953765319e+00 3.759876906090696067e-03 5.586982088220832435e-03
6.196966941319616007e-01 3.382600994425319797e-03 2.557994473649955695e-03
9.722436693209244307e-01 9.695239253324813844e-03 7.912950704486106795e-03
1.379572743321594519e+00 6.218624817748455609e-03 8.388343856583820729e-03
1.269399366405025820e+00 7.292223110242637522e-03 4.907948759817469878e-03
1.450877191601082306e+00 8.803079432518616521e-03 5.316218858681908722e-03
9.087483479880449355e-01 5.061411437898018228e-03 6.762998392208042185e-03
5.371267999952081817e-01 7.555147196777138759e-03 8.471751781345633614e-03
5.285503974550787021e-01 8.529287371590693959e-03 9.985576845407800536e-03
1.274107298409662414e+00 3.147166141365200214e-03 9.323422950662584724e-03
5.267546160446383574e-01 7.533072795660240850e-03 4.090197100240416071e-03
5.794016908019005152e-01 1.802406539794221144e-03 3.791836647437419466e-03
1.033191187214582030e+00 3.794723026349167486e-03 1.324352516271798744e-03
6.853182711759199242e-01 7.180929082143988618e-03 3.421910387972383182e-03
7.505950765353172072e-01 2.598105557553535751e-03 1.180129357623157247e-03
1.304707983130545035e+00 6.308243434045161628e-03 5.883024117052845434e-03
8.602219032317333092e-01 6.898499303645032506e-03 5.993682678490390783e-03
9.672498761854672056e-01 4.561354808073302819e-03 8.539001101397653351e-03
7.353007657023333810e-01 5.636904328902357479e-03 2.385582908991800474e-03
7.402643196849785223e-01 6.742401333050058098e-04 4.403467727677223484e-03
5.143600703846277211e-01 8.363337517441674779e-03 1.715281265219777270e-03
6.766654608959280504e-01 7.689510799535415400e-03 4.207079096827416598e-03
1.214655481527738612e+00 7.209469704373192185e-03 6.155753064704248823e-03
9.385664503562307637e-01 4.949575511022996817e-03 6.063243170843325876e-03
5.022567012111515128e-01 7.774240175516909136e-03 7.192202774202927432e-03
9.839121547310251126e-01 3.369127541450390572e-03 2.664712940825274528e-03
7.321461133549334033e-01 5.849604079437784043e-03 7.536996050016653813e-03
6.776282836345015603e-01 2.709680146743658792e-03 1.630980284129239207e-03
1.049332680727971923e+00 8.034157008847660555e-03 5.766114992538535870e-03
5.978554807537311833e-01 9.146875132400754047e-03 8.601788260593603089e-03
7.821545006139849487e-01 4.956171157990103306e-03 3.337272569093523242e-03
9.489046941596922524e-01 7.740437490362179866e-03 8.532219212554327178e-03
5.808366486346822066e-01 2.479764232714690587e-03 1.202605946925920741e-03
7.382438537407306489e-01 8.505783954637231511e-03 8.962195643800874648e-03
1.031816827438152728e+00 7.859424075512733490e-03 6.273225972722635841e-04
6.557001519951228818e-01 8.275038326606811226e-03 3.893138787229267431e-03
7.669033469997961205e-01 1.591693929676604074e-03 6.030822417911019945e-03
9.652173517327248264e-01 9.046134253311176234e-04 6.674366877514530810e-03
5.304065421182904139e-01 5.442961854452731292e-03 6.296089275809010552e-03
8.681658683001985954e-01 3.992718105365580111e-03 2.755854190116304499e-03
7.277760685862892931e-01 2.880630055176565483e-03 4.458436556246773118e-03
1.386731696253023394e+00 5.395112281793877813e-03 9.310770877500351358e-03
1.468979625788570775e+00 6.325498924474028291e-03 1.756920461065846666e-03
5.552001342638699377e-01 9.684989509080482381e-03 8.703848368999890679e-04
1.273970632214974197e+00 2.432815145816104481e-03 2.480715988635057590e-03
7.153845357794885729e-01 8.135174469026225852e-04 3.690188011589446045e-03
1.495588736118439677e+00 6.620959887234156849e-03 6.080496908652881574e-03
1.233457556682084455e+00 5.154523673839684836e-03 7.530457956028957338e-03
1.098724249625818494e+00 4.925631442791979925e-03 7.252626690496730838e-03
1.062160340486442367e+00 2.253385378626503524e-03 1.384796385866398716e-03
1.031335442697590921e+00 4.819023838459420353e-03 6.385368209133211390e-03
9.783281435014116179e-01 4.414152134145640956e-03 6.126798631404472249e-03
1.340894856848640293e+00 8.917746293507744851e-03 7.731300394709714544e-03
6.825543052537978994e-01 5.157634166857678415e-04 9.076871607314903473e-03
8.231643736418149393e-01 5.046889085148260554e-03 8.323384681321644579e-03
1.330198572015221181e+00 9.269224912742705588e-03 6.932951967011020435e-03
8.005381089721148591e-01 1.792134355088695775e-03 2.219859747878595232e-03
1.483900305720782686e+00 1.664433908692636212e-03 4.305574818987378295e-03
1.051350400398785467e+00 2.949084638235167661e-03 3.131303029245613521e-03
7.719414099646277894e-01 6.708413735457464553e-04 3.628164611394462530e-03
1.139142093396162680e+00 5.987905896714311275e-03 4.028608292276869736e-03
1.420698411843985820e+00 5.901074151740268864e-03 2.530069815593366956e-04
6.562101900908501317e-01 4.398291957046641942e-03 6.938459408557383357e-03
9.801367328409141821e-01 4.230451515320825598e-03 2.233767014686306208e-03
1.154842831911290668e+00 2.798520079980871839e-03 3.703782816900281008e-03
1.274441836938337236e+00 1.827704033477978510e-03 3.157524996352140210e-03
1.016926700993429744e+00 2.994947386407328851e-03 8.395320488948658857e-03
1.114397581103257373e+00 8.588349465380012634e-03 5.559400609087979638e-03
1.466598369749765984e+00 4.056046452094205605e-03 5.937878922545150248e-03
1.322878189014744077e+00 7.103248408955701275e-03 2.266735627318862845e-03
1.106599561322562764e+00 5.684543173726360789e-03 5.889092296938447206e-03
1.301654074875381095e+00 5.738596864851066084e-03 1.465262226490213681e-03
1.141408954867903836e+00 7.106567419065225495e-03 8.576767763458732763e-03
9.396142377173845039e-01 5.365199201964887706e-03 7.842916288039666894e-03
6.470617490547431183e-01 5.546928251018859793e-03 3.912024242799390893e-03
9.747026204940886229e-01 7.072822887694490274e-03 2.024229276125626489e-03
1.256833957408153957e+00 5.511847171350713406e-03 9.884280394633038550e-03
5.106391278106846565e-01 4.929262070562005250e-03 6.571082954387168912e-03
7.477143944044094548e-01 9.900561939955723062e-03 1.644602639632169062e-04
1.484096454077338922e+00 4.090608313142164026e-03 9.530684815955231537e-03
1.112445096996864446e+00 4.969149836845552018e-03 2.074735751653568945e-04
6.125435556501130918e-01 7.791565197373576113e-03 6.088650541968388709e-03
9.905857538656559491e-01 4.033685974049555818e-03 4.511847140631553531e-03
6.316333508096904081e-01 9.541350448222475286e-03 1.935646356268774532e-03
1.036727919479168758e+00 9.340669054032925064e-03 1.163216608505008220e-03
1.027592967731953522e+00 1.002672928725654539e-04 5.873549500662812901e-03
8.063634081648727303e-01 8.556146123573294543e-03 2.517927917371120140e-03
1.400713104163740619e+00 7.921316663134501598e-03 8.659036564848145850e-03
6.451236698171468609e-01 3.170183740744689140e-03 7.934051537657884484e-03
1.472989621242157821e+00 6.946888256929511325e-04 1.275981457479969088e-03
6.839107889471197632e-01 9.388381803182849553e-03 2.850709322974320347e-03
5.505902033719819455e-01 1.530406579917420505e-03 8.455956147425570599e-03
9.693360586171180238e-01 7.352289041893858741e-03 6.353527007746924936e-03
1.141532579866580965e+00 5.912809676026122008e-03 9.307453354217374436e-03
9.323363148012805413e-01 2.631894905163563100e-03 7.462466257165299537e-03
5.081337631737208316e-01 7.060641469886297719e-03 9.688864679718439676e-03
1.220474286221096438e+00 7.946126903733774852e-03 8.570611149883602606e-03
1.221431368465863976e+00 4.500165530458527345e-03 7.123942196977991505e-03
5.844449659127270991e-01 7.062719885109811253e-03 8.001371957760950587e-03
9.086969956162849194e-01 2.823907820906182940e-03 9.236046332030435624e-03
6.971028848384890342e-01 9.701151518385180139e-03 1.864181503172180916e-03
6.576436722286926884e-01 2.481181149641641364e-03 3.726809903222900100e-04
1.486085706543113893e+00 5.601224521356049178e-04 4.682279039286123962e-03
1.483908377263873479e+00 9.720380958941239602e-03 1.719836786388103268e-03
6.536010506619532867e-01 9.552746315934482549e-03 5.675402917997093670e-03
5.566535834330604837e-01 9.708665815548647715e-03 6.455532584225747578e-03
8.535554830045932739e-01 7.439629920279659456e-03 1.322576327032396989e-04
1.059801784727773644e+00 4.064197614372683665e-04 7.363280319648180146e-03
1.290634667326004514e+00 1.015500025859321755e-03 8.847738237699458164e-03
6.332180036906537302e-01 9.614468925386218320e-03 4.081605114642822447e-03
1.451689532464308208e+00 6.287926673413461167e-04 3.206494988029803209e-03
1.056543287566164668e+00 5.358969618945928250e-03 7.308412232525500832e-03
1.434565776469743259e+00 9.233815243716358978e-03 8.882064665545452362e-03
1.438546567370686313e+00 1.041729748932028075e-03 9.844001051112181988e-04
1.001286667908645622e+00 9.497516265880044661e-03 5.229043872783897297e-03
9.029915277297357878e-01 1.902221361469930323e-03 1.397067232156983408e-03
1.468123992529442035e+00 1.657631013635625953e-03 9.280541608329901868e-03
9.404073021661566445e-01 3.376632483746362158e-04 2.389300632998237611e-03
8.439324277998953017e-01 5.828880761702055421e-03 9.692323965842764358e-03
1.244868754636374586e+00 8.888003681181966958e-03 4.166238485300789631e-04
6.199754555549642498e-01 8.257169468985773794e-03 8.467272213035212380e-03
5.193811027998607166e-01 5.106435012418126737e-03 2.720876647224695390e-03
1.457646667663134998e+00 1.183276246170026236e-03 8.987847348262788597e-03
7.394973294411987252e-01 3.473674201669628859e-03 3.809096704074836290e-03
8.178123262577607910e-01 9.653888073871083955e-03 1.375008889712661230e-03
9.709561365780533526e-01 4.265555468562137742e-03 4.920182225681226686e-03
8.226525327690954459e-01 2.631531230485144746e-03 6.960670862463659049e-03
6.124994642756561580e-01 2.931884040230146957e-04 5.536506118656669626e-03
6.108400993550103797e-01 6.515348743402510790e-04 8.299497968636045803e-04
1.239603968697609027e+00 9.276377412035140962e-03 9.980376504834551771e-03
1.306019550609252233e+00 3.004467890704854306e-03 4.526288574408741765e-03
1.197505157118588182e+00 6.824525248823144936e-03 9.054688278421837641e-03
1.181266777140557611e+00 2.068370604342404176e-03 4.005378656819286870e-03
7.582521240664834572e-01 6.067949439959037083e-04 8.760042503439651948e-03
1.448155156955760248e+00 2.986679489123622144e-03 3.519710484366521831e-03
8.064730062583599368e-01 5.376028619410657024e-04 1.062911154358918810e-03
1.202683822548877846e+00 6.130949470798861822e-03 9.104940363490337391e-03
9.936759867389387546e-01 3.402291657137714899e-03 1.807544732560970556e-03
7.653132850582995417e-01 7.102467033642307151e-03 2.907218499645277451e-03
8.492120990852398688e-01 5.211431162231594137e-04 9.551308074877563892e-03
1.300242896323795527e+00 7.917748573048692326e-03 6.337127662852251077e-03
1.104009304827836324e+00 2.776264391802708408e-03 5.802643630762483601e-03
1.167804213726542528e+00 3.329159536801559846e-04 3.553246214544567363e-03
1.145662154624214946e+00 5.496543784698924330e-03 6.048720753357255536e-03
6.628491020094637864e-01 6.118620669831801966e-03 6.477678454930985413e-04
5.340351503130211785e-01 4.036603416179404026e-03 2.489944110300728632e-03
1.276631170748369293e+00 7.474442117300873420e-03 8.066163888024896131e-03
5.264732887571297315e-01 6.821891723153635130e-03 3.676808994101582028e-03
8.290314585624136701e-01 3.327924023217458237e-03 3.619342558400532196e-03
1.233099355592932822e+00 7.896508043917786941e-04 4.106777601852003496e-04
9.285713768231648180e-01 5.978214523936390724e-03 9.005551214452312990e-04
9.231985354056871929e-01 4.532986501064115679e-03 4.864429758161435517e-03
1.077469687347259786e+00 6.593355718518848115e-03 6.864317419520277446e-04
1.460423164584077504e+00 9.340248884108500599e-03 3.734570182446987630e-03
1.392322119625939880e+00 5.392600372033323416e-03 9.530908552535893169e-03
9.076193476249326819e-01 9.870961722292998994e-03 3.459532419495122638e-03
1.463677542198690507e+00 8.588691694739402152e-03 1.264712283583993395e-03
6.387126450224334118e-01 5.033154637060860415e-03 7.892809783877066318e-03
1.430623347604169648e+00 6.655850092786625219e-03 1.648310777244917352e-03
5.804768894089658016e-01 9.707485570870024935e-03 3.904880388819249697e-03
7.772418530563148797e-01 1.971883714714808833e-03 5.102809795765056965e-03
5.815433119584949573e-01 1.446149519049935717e-03 9.128228589572002713e-03
7.281074157055716922e-01 3.597372660488672592e-03 2.413574867871171991e-03
1.346382194471833049e+00 7.480774179367539849e-03 4.251498032103403525e-04
1.404479346237293758e+00 9.031145241870548734e-03 1.450563138242296282e-03
1.124631692966111984e+00 5.788859592652064942e-03 8.816333925352399722e-03
9.515654138687139607e-01 8.191975372746657102e-03 9.990899005488041579e-03
8.813195768223472948e-01 7.480541094945035614e-03 3.525719614159583942e-03
1.337409159771710598e+00 8.995580269835152035e-03 9.706347221620451743e-03
6.138283972719320580e-01 7.052580565893439880e-03 4.603353371108831298e-04
1.046300936012488192e+00 9.120673635281758770e-03 3.999971656726549613e-03
1.236090959546137125e+00 8.536787897869001912e-03 7.694172875414308742e-03
1.437882262381111609e+00 2.848859847116186252e-03 7.293907412214301403e-03
6.994711174009798915e-01 1.571570180531779411e-03 4.284183515689777774e-03
1.184268974651142781e+00 8.387170672433025276e-03 8.238076332117797232e-03
9.860520911812764577e-01 7.890204669156774750e-03 8.137703360046832229e-03
5.202406829776995423e-01 6.100585631798515797e-03 4.212157927536638868e-04
1.445619350576683448e+00 9.823773906419506347e-04 4.938967525691174455e-04
6.418109911402001266e-01 8.983188424149014112e-03 9.466038067911297649e-03
1.144000220191497608e+00 3.504975407655733840e-03 6.466581563271043415e-03
5.961287869957366814e-01 4.557686827358600062e-03 7.420994139077988910e-03
1.017554381386501561e+00 4.111352214196827459e-04 1.520560363695277030e-03
1.189091074286251493e+00 3.685126803952855183e-03 2.919144555038442976e-03
8.125861248582957330e-01 3.409409402152581599e-03 3.118179760975602847e-03
6.504208763399340620e-01 8.925696296880593350e-03 1.648071836479997982e-03
6.224554875920567110e-01 3.023868607753398691e-03 8.126042004279836889e-03
1.374561933033070282e+00 1.943875958766295379e-03 2.280748869194168006e-03
1.342937040252677239e+00 4.163329293444314322e-03 9.452480173979035255e-03
8.994713963967174708e-01 1.504606841328301318e-04 7.900631381028850805e-03
8.939135079735681666e-01 8.609557200618395481e-03 8.010341353847285489e-03
5.522021406895012419e-01 8.169366804825722514e-03 2.096724592725187838e-03
1.044723588845680062e+00 9.304857903019322224e-03 2.129253327309888182e-03
7.393031051645605478e-01 7.915072613293310660e-03 8.032698745331559934e-03
5.495481956848308203e-01 8.418702880389251214e-03 8.900461002587761305e-04
8.364678505022308252e-01 2.607378268765231898e-03 7.289796866107978168e-03
8.252680608712082977e-01 8.819714650629417729e-03 5.686952532477067973e-03
1.202623399960168538e+00 3.359083044616303286e-04 4.398534513827044232e-03
1.213803323098398002e+00 1.244010826694791003e-03 9.840480628177796646e-03
9.621699330109326764e-01 7.958397227860443054e-03 3.993076999519916404e-03
1.438888186817561143e+00 6.112157692569487443e-04 2.645650674006275963e-03
7.074163486403818313e-01 7.033208164756279794e-03 4.995727623772059332e-03
5.739432500935162107e-01 2.653199778079031509e-03 5.990362230726071005e-03
9.008134882338375560e-01 6.750478378664955155e-03 4.370852425865358326e-03
1.240292701783546558e+00 8.255695998147976125e-03 2.106081322098541514e-03
5.575153416311090515e-01 1.458033037559863928e-03 2.782808231941308070e-03
1.457184754120815828e+00 9.777648572089086068e-03 7.970079374604231021e-03
5.951465103626842890e-01 9.245309275495420046e-03 8.469305642709907753e-03
5.222711955152481433e-01 5.384741136028062258e-03 8.849094198831125233e-03
7.848705837598373147e-01 5.106093121541200631e-03 1.503673194766814948e-03
1.260443357623669769e+00 7.965946381094464804e-03 2.215390739126622669e-04
1.338799144895733484e+00 5.409887127625242348e-03 7.105416649553395261e-03
8.271516545757289229e-01 3.044314094690076314e-03 4.162633336812972262e-03
6.970647548063799714e-01 5.776329120492776532e-03 9.962232947621881690e-03
1.027330636419625964e+00 9.364409357916707310e-03 7.630181726535630038e-03
1.221965181122075084e+00 5.232659536225028538e-03 5.504177030637366630e-03
1.407842893139688467e+00 8.959000807824904142e-03 8.227323680193613167e-03
1.404182017871899113e+00 7.926828863259507627e-03 5.497640852342501952e-03
9.051663578242721275e-01 9.803551265238397844e-03 4.881749388009969212e-04
1.076453630604824241e+00 4.845249470411336877e-03 3.089471016822713245e-03
1.014126466540379745e+00 1.039057072280958043e-03 9.959472466595210849e-03
5.685277180224443949e-01 6.255166959469745346e-03 1.255393471311421795e-03
1.114676185378010276e+00 6.778295992291005594e-03 3.513120742932044228e-03
1.074998058484994967e+00 5.392434592318321547e-04 4.951331307333740710e-03
1.121679997526465078e+00 9.579501910795911596e-03 6.118055947145324691e-03
1.298768275344450274e+00 2.559503286634101735e-03 2.230458649407235719e-03
8.999518281291356558e-01 1.218338198170933239e-03 3.824066813554970884e-03
1.234650188622882450e+00 6.140728571868227931e-03 3.589082233594629375e-04
1.495098941727629249e+00 5.936279035763488560e-03 8.932546071578287977e-04
7.955574517289992764e-01 7.320737876143080733e-03 1.521455990670021827e-03
1.449929316302276838e+00 6.811721187542688592e-03 5.445087892209273840e-03
6.639194711941976967e-01 4.289331023463491635e-04 1.506065078586839301e-03
1.314561367696340799e+00 3.881532735725909487e-03 4.835156989732429869e-03
1.300538188794972960e+00 4.458342288718170586e-03 2.609822008119126822e-03
1.483280346675600159e+00 8.782614592009562252e-03 7.476606996590534279e-03
6.191197997134983977e-01 4.656023711955148067e-03 3.384771164362005303e-03
1.178846122911868299e+00 3.946113105733271322e-03 3.800632431540867245e-03
9.469110263505284841e-01 1.507281630119721881e-03 2.741384270690688536e-04
1.475279611221007148e+00 8.727060999643059327e-03 9.361700492505859589e-03
1.419249157488511326e+00 2.321558927890352269e-03 8.057502373781420119e-03
1.129907943364552469e+00 9.483257013261687032e-03 3.597348631579254385e-03
5.984228241399826009e-01 7.823019283150760284e-03 6.268626118242318079e-03
9.670606946075054333e-01 8.938957766267498217e-03 3.988392043442538955e-03
1.257633417180280322e+00 2.261041271408469793e-04 2.895683861029878063e-03
1.248523214347549537e+00 5.640874271201273826e-03 9.598979138400022884e-03
1.157434015418161266e+00 1.870859759328844050e-03 9.520317106354151543e-03
6.002886227520710660e-01 3.546753931950333890e-03 1.453438771515731765e-03
8.012613572730954425e-01 6.557809953502633134e-03 1.547106593902800985e-03
1.346643411882319619e+00 7.153604969997367190e-03 5.236421259563611708e-03
1.059120335295300031e+00 1.847452065392997085e-04 5.321814059033146659e-03
5.011867608538348451e-01 8.313873929664089904e-03 4.964186484266257075e-03
1.389925582897227674e+00 3.156395874807764630e-03 8.731454931851753351e-03
1.476627207106304240e+00 4.031930889587540326e-03 2.046848117023748314e-03
8.662062547224242959e-01 7.690739271317342980e-03 6.703943245449086805e-03
1.062813586811489408e+00 4.329336313794744998e-03 1.325813531807423524e-03
1.053973201910786361e+00 9.490300678570385770e-04 1.435546326292615757e-03
1.412446947657129304e+00 2.072170080250771221e-03 1.613947432513837370e-03
5.034545571373705286e-01 8.895190938389399907e-03 5.241412462537465775e-03
8.174583448616135062e-01 6.966899898390623534e-03 3.759192348051170959e-03
5.067155449238951448e-01 3.386331672336418980e-03 2.056982797773191426e-03
8.494869380637041223e-01 5.491927799609287383e-03 3.367291746918379264e-03
9.342570471793607556e-01 4.370653649336872851e-03 9.858834155170850475e-03
9.638377492425752591e-01 2.711928178731583955e-03 7.135839925280859468e-03
1.286688059057948141e+00 1.431187849794310438e-03 7.093366845984273340e-03
1.214542649324497514e+00 8.716470264102832086e-03 6.701490837319478561e-03
9.182491057201674911e-01 4.053326824586375200e-03 9.064161969805117555e-03
6.885849407300035363e-01 6.372272563147596486e-04 4.712736570366578975e-03
5.344236067300536241e-01 8.468436768008482524e-03 4.185123996869637847e-03
1.131185966367638462e+00 5.102442877462966438e-03 7.637440696626940709e-03
7.325289625902444701e-01 6.834191596944397436e-03 2.533635048060943040e-03
1.067067804053041691e+00 2.297607973196617599e-03 7.017865778456895166e-04
1.149564060993749415e+00 8.175061612395969398e-04 8.804263279917436125e-03
1.020295598747749111e+00 2.351893549621305798e-03 5.841296968541719210e-03
8.551680471438424247e-01 2.972228028112441998e-03 6.868850829905365045e-03
9.427543348184518335e-01 8.038257252699883629e-03 3.212758017262418078e-03
1.002902254433630791e+00 1.347920662744138930e-03 5.947971636508705799e-03
8.081907444312751432e-01 7.552248332544938755e-03 6.201900363580307128e-03
1.418295785551459076e+00 3.433187450626189012e-03 7.228265862386727345e-03
1.281753346826413731e+00 2.640600463281473839e-03 9.175408628012856477e-03
1.187574646269040635e+00 6.808980381238134878e-03 7.433374895835697695e-03
9.381701222066084478e-01 4.715145721190325788e-03 4.054307591835943259e-04
1.026751152016026847e+00 4.037384415989260164e-03 9.808702049847007470e-03
1.020612845334587071e+00 8.258946088209399503e-03 9.870631853420203800e-03
7.115285818085930192e-01 7.665794718883929895e-03 1.559783496739837981e-03
7.859695051806708799e-01 3.654444229297571563e-03 6.042870485721036841e-03
8.327462538328043173e-01 4.463092500804628771e-03 4.829517824593849984e-03
1.277019864104310010e+00 5.425940809920171484e-03 2.023115097395638672e-04
1.287101186964050292e+00 3.581957007756675273e-03 9.669242256341175918e-04
9.907328894800725427e-01 6.234994482211182222e-03 4.456552614174874062e-03
1.241875362488165102e+00 4.918029846770334383e-04 3.811350870499737855e-04
1.089700514310289137e+00 9.215513253253645315e-03 9.590504577772569067e-03
1.240272053468109537e+00 9.802076278668607132e-03 3.271119921044444989e-03
1.406373541730125076e+00 1.968486555383027956e-03 9.247701209551912813e-03
1.466535988409380931e+00 6.074228790896654684e-04 5.997859827925260817e-03
1.151434515640691547e+00 4.785190137004596074e-04 8.015926738569559284e-03
6.287147008471868359e-01 6.608648016604923986e-03 4.240434806642532674e-03
1.219562973765802250e+00 9.532775387711932280e-03 7.860067703477718881e-03
8.311610930989167256e-01 5.069411024167949989e-03 8.538647191146690393e-03
7.137597350459469192e-01 5.207792738265232084e-03 6.066880352905536580e-03
5.913100383162580576e-01 5.948670748141019274e-03 5.914152715283242136e-03
5.891677136263168135e-01 8.947595265901028654e-04 1.488950085083258100e-03
5.003894486726099267e-01 9.080284611035256345e-03 1.821600313981330994e-03
8.748080613280331264e-01 6.597697243447743325e-03 5.107743344502365529e-03
6.437445555370141514e-01 2.484219940711426475e-03 5.853165294380794281e-04
8.360250012617778115e-01 2.588913143781149291e-03 3.632903294115498276e-03
9.092083853258888793e-01 2.724104437382657631e-03 6.498912813943493252e-03
1.285174921927043190e+00 6.087390403575272842e-03 1.415833843270350922e-03
5.037056026099024919e-01 1.874395601894064808e-03 6.640895407574853165e-04
8.423050626675810948e-01 1.696909272444045973e-03 9.690024530839664099e-03
1.489060802179782428e+00 4.351549284588633604e-03 7.685680886850413708e-03
1.183775302389337369e+00 8.476796139068987213e-03 7.854054009651520105e-03
7.645793010834799341e-01 8.219235372444165869e-03 4.984246664897366667e-03
6.200311395155512217e-01 7.329746065259279582e-03 6.912809872070760885e-03
1.039991173760651533e+00 2.599772853672560786e-03 9.678640119698598762e-03
7.620305401892978336e-01 3.670271745816340667e-03 2.106527513822371769e-03
1.454312253117518328e+00 6.681308108315103800e-03 2.406418517992315719e-03
1.328305743793751548e+00 8.603951313941820764e-03 1.171806034110428791e-04
9.398274145918025235e-01 3.318057419448428805e-03 7.433108390800873336e-03
1.142738946816182821e+00 3.700858577079800191e-03 9.087428865478733644e-03
1.128610575608524957e+00 5.505600783795569497e-03 8.990991900926231448e-03
1.031546782987633915e+00 3.455316926266837046e-03 5.269334340309143362e-03
5.636333027784482530e-01 7.105785272796464117e-03 1.165291620472725818e-04
1.387223933169702939e+00 7.349428739330311246e-03 6.473342376678843484e-03
1.344266784294601225e+00 5.200314228957661142e-03 4.804082793391308698e-03
7.191084042484949812e-01 9.030709590362282976e-03 5.361876720721765917e-03
7.642122191520285268e-01 7.252091080980590729e-03 9.379907378329827364e-03
1.355234256106543356e+00 9.361266801420069228e-03 4.433008634358237381e-03
1.006193350882160109e+00 8.563505265699971041e-04 5.867135872923098273e-03
9.781314295032716988e-01 8.962662854563260145e-03 7.560197458872965938e-03
5.995765801193413402e-01 1.249683105773991693e-03 6.260766500557565957e-03
6.945292999279401025e-01 9.763183973028906728e-04 9.762211606749872372e-03
5.450752118303346938e-01 8.735213420389860428e-03 1.605354049702893519e-03
8.924338317082121108e-01 6.881266034641734392e-03 1.668213131035582112e-04
1.314086862244558507e+00 9.734211509034125173e-03 2.542096384011674655e-03
