# ΔE g
1.052732454705429976e+00 7.564673869876079211e-03
1.390948382527057881e+00 8.661016774085589578e-03
8.089630005396036827e-01 5.802970912069137840e-04
5.844770021636783719e-01 2.048564205242903950e-03
6.085640818149574693e-01 2.416477424081733914e-03
5.698794028687383939e-01 5.826252277962342893e-03
8.641547726139279240e-01 9.205770542133685438e-03
5.258914473165484660e-01 8.029257704631002565e-03
1.134369467182160252e+00 8.520581761487025507e-03
1.212754747127498867e+00 6.819070844800101394e-03
9.575514238494046149e-01 8.735776843912084963e-03
5.547215736052709678e-01 4.885115872802769064e-03
6.205161645748219490e-01 6.543155949733794365e-03
8.389036279572096300e-01 6.022876522106940071e-03
7.755242211504120853e-01 8.621060583122031398e-03
1.155470550696655385e+00 5.238086239377591838e-03
1.085633312441473430e+00 7.717158497787087379e-04
1.056192715620168476e+00 4.668839992886701824e-03
7.551510850004210518e-01 2.353508528520220893e-03
8.830306139225743145e-01 6.342864671129007327e-04
7.571545601636460177e-01 5.356084315919829898e-03
9.262131409798091131e-01 7.489654715980934366e-03
7.528796174014800169e-01 3.154018295708682119e-03
8.294350227525086883e-01 3.575372274831423516e-03
7.940373830259865873e-01 4.738385159412420236e-03
1.263521070754824338e+00 1.122742598890905542e-03
9.077937068820539634e-01 4.150978037929894081e-03
9.375253391466989994e-01 4.727958207613422968e-03
5.248570539673718116e-01 4.819604416302043087e-03
8.480816467951721727e-01 6.324922644475694349e-03
8.876441296864150399e-01 8.533193022266578887e-03
9.293645617094432598e-01 5.450242906582114175e-03
1.281894859846692381e+00 7.797753516570016079e-03
8.100428849977511225e-01 4.525875001206023512e-03
6.288486321166948390e-01 4.008870934701132781e-03
6.014869456834752715e-01 4.684531780962673461e-03
7.540452073788388443e-01 8.218476444774606635e-03
1.304157736861658812e+00 7.420241437811476472e-03
7.454941824336318579e-01 5.030226758094401111e-03
5.219272589773800153e-01 8.909831367163254662e-04
8.764761375384583220e-01 8.102411375064401747e-03
1.423010398200193150e+00 4.441351047309475414e-03
1.380561028389843514e+00 5.965633206667026074e-03
8.963373172497342001e-01 1.903785691046355625e-03
5.776007643497295119e-01 6.878947605771744672e-04
1.112868097911750898e+00 7.039428600202401153e-03
1.184242027647883333e+00 5.692714425190909151e-03
1.320445674330495311e+00 9.986820086335774019e-03
9.752243952352322998e-01 4.493852099604585433e-03
5.753296195887388498e-01 3.502601076751123404e-03
8.360674753572863160e-01 1.529162162588826876e-03
9.606125570716315121e-01 2.909159857425984083e-03
1.255261898841466550e+00 6.412012441837132773e-03
9.572814907360619463e-01 3.703833635785533721e-03
9.969151478046842652e-01 9.994288641883002089e-03
6.359904865208663161e-01 3.981507530700686970e-03
5.419112709791565896e-01 3.604460977278226529e-03
9.506171862355820013e-01 9.029050198995542537e-03
8.067521007307124625e-01 9.263142080564510175e-03
1.190626074774620236e+00 7.247809980115465373e-03
1.057454818050773460e+00 5.886940283075092241e-03
1.441168670570226240e+00 6.294233058360758706e-03
1.402406980216190258e+00 3.326147106348456735e-03
5.950774243901284510e-01 3.541185169206816606e-04
1.008296670204866352e+00 5.846462390411865349e-03
1.240179421622717548e+00 7.034793339352728983e-04
1.145964702232381782e+00 9.157678896025105500e-03
1.088965864047477750e+00 7.107147853996202171e-03
1.348817173184920781e+00 7.291295025545551506e-03
8.501244666120444382e-01 3.379039791346191614e-03
1.356364721459150324e+00 1.054423749207646522e-03
1.005776374931782957e+00 8.494769418528284183e-03
1.056931882878555884e+00 2.856427286655828339e-03
9.782152769781099488e-01 6.357108758513418077e-03
1.154612268013149201e+00 8.428083459519279674e-03
1.172908707214505686e+00 8.250330161097867848e-03
1.316024836878905369e+00 2.205340664599982330e-03
1.037082421982514990e+00 3.785573687856569856e-03
1.325003545536806993e+00 9.817746276158594715e-03
5.082620814862953695e-01 8.441011787795006313e-03
1.262515603364204875e+00 1.664803244189662270e-03
6.960738876755956372e-01 9.887151288717992495e-03
1.291426638167306518e+00 5.624823319293969885e-03
6.954643724547308059e-01 7.092750560993454044e-03
1.237541982914577510e+00 4.706696812267158712e-03
1.434648198516358608e+00 5.204115987206431662e-03
9.044892008242680914e-01 7.267281426644833613e-03
6.467666757057285443e-01 8.682540159508523453e-03
5.516300298795144830e-01 7.009643372590713788e-03
7.548922332562504334e-01 8.627780226479555420e-03
1.151257261597951498e+00 8.493206392313766215e-03
9.868665706240040691e-01 9.538070648532842935e-03
8.615059789381734889e-01 3.173234924966228214e-03
8.378778470234555797e-01 1.224761791416567689e-03
1.490189163809382045e+00 8.146816990975578807e-03
1.231933009242812904e+00 9.641504504611002682e-03
7.139277950321427646e-01 9.085079161044401150e-03
1.327173979029587114e+00 7.244571574617022364e-03
1.456787166623534358e+00 3.215209370978232631e-03
1.333562838452979182e+00 5.429362114574268119e-04
8.038953168272011673e-01 7.351469883960006120e-03
1.337947610918924113e+00 9.921616606156397067e-03
1.075861631537756047e+00 5.525835132773763113e-03
6.144136077256976414e-01 7.979224300736244974e-03
1.380886429311508623e+00 2.231508637722943349e-04
6.013426252946892925e-01 2.613504867456470371e-03
8.718620773849773409e-01 9.187405629917570413e-03
6.330903050269762744e-01 2.517785524467607179e-03
5.311838886750603894e-01 7.023761836373188915e-04
7.291036928330802969e-01 3.768307137317500072e-03
8.218339692700894483e-01 4.132395064842544173e-03
9.970996343169195031e-01 6.731247853168082287e-03
1.162183820271682544e+00 6.843698013534062381e-03
1.496587361590936860e+00 6.909955282585412062e-04
1.173685052934304807e+00 2.527507121404606438e-03
5.500299016256410267e-01 3.542535869065162584e-03
5.786948370995910196e-01 8.889084374648402800e-03
1.447069092367306409e+00 7.990447052216208268e-03
8.930209465869169971e-01 1.403777895527322369e-04
7.083345644083165471e-01 1.062578280403511394e-03
8.882104094794780469e-01 1.809682223304198223e-03
7.096722348638342392e-01 2.695355598516996354e-03
6.990316990122426022e-01 2.785111058149038806e-03
1.440223682102018898e+00 4.897298018146483897e-03
1.041585292093277992e+00 2.240838928842193035e-03
5.634848631962025012e-01 3.862412268304831441e-03
9.402262053221899230e-01 9.226362855438336591e-03
6.309417577765947804e-01 2.656142333409541086e-03
1.448474138407304324e+00 3.019404695482536850e-03
1.363541183439579196e+00 1.851853895463047989e-03
6.890246461071688477e-01 6.412288842779312846e-03
1.477608810829590613e+00 7.288795944268598899e-03
6.243293775818569147e-01 9.621989727448407997e-03
1.306907623932348717e+00 9.462134260668305166e-03
1.243717271151823400e+00 6.334963185710377510e-03
9.074740362853270792e-01 3.680474994127871154e-03
9.806462356608760533e-01 3.053302059310865173e-03
1.060858396544099636e+00 7.195265421945658268e-03
1.301570518390479325e+00 4.533887361146263402e-03
8.451519612134794635e-01 6.856984563810187769e-03
8.000423923213965116e-01 4.673605248875193838e-03
1.354319720859649134e+00 5.430327872395781033e-03
8.109294117829631832e-01 4.810984548782766546e-03
1.019692413056183744e+00 4.184366509021730926e-04
1.394238252591564642e+00 8.503122960470345729e-03
6.008604389487990360e-01 8.534660076143042728e-03
1.322471066393398953e+00 1.537852492852081338e-03
7.932107832065301567e-01 4.531150176139233689e-03
1.053042561266600341e+00 2.171051915594232606e-03
9.491182263679882603e-01 1.680057523994519641e-03
7.856247498854125322e-01 1.547383105945476182e-03
8.292853070419526906e-01 4.851717526888705591e-03
6.760582053461873242e-01 5.279369676236485981e-03
1.316699698534712137e+00 7.056515752286882060e-04
1.213689267174320907e+00 2.554190287119185651e-03
1.249035019002237679e+00 2.520442260790283374e-03
1.252897963746510968e+00 6.130940133957004864e-03
7.485225459604871734e-01 1.931406786468694301e-03
6.676697057273367486e-01 2.244400382954226184e-03
6.951070221104272973e-01 4.192556969107977954e-03
1.315725551096901480e+00 8.518615393300512165e-03
1.115336862045706035e+00 2.822465127624877376e-03
8.686016113620705914e-01 1.518907786338374302e-04
6.157600780566448995e-01 4.797597874669536251e-03
1.468139200119286336e+00 5.440516329372795806e-03
1.090226001095468078e+00 8.574493939029849410e-03
7.834256429408676947e-01 9.537938705539627735e-03
1.387824626610863366e+00 3.743457962844156349e-03
5.546863518206696098e-01 1.718926124051736509e-03
1.045114131191559048e+00 4.801802113970103300e-03
1.288175408431043500e+00 3.007087351159709251e-03
1.373383614360606630e+00 8.429099054813827749e-03
5.575818995082788554e-01 9.998881827082035934e-04
1.400132968554226753e+00 9.375589200723952361e-04
1.423626349324348839e+00 6.474066221514284888e-03
5.740007879699133841e-01 8.561368928291601330e-03
8.458536926318317439e-01 9.651092213445285756e-03
1.192318585286408217e+00 7.157759716361805679e-04
6.819492692712260107e-01 3.261677167687404479e-03
1.410577577071348454e+00 5.444621902560306190e-03
1.287665816081968062e+00 9.821453141326234523e-03
1.467966063061859394e+00 8.118084777218382772e-03
5.562042430468497889e-01 1.518314419242964338e-03
1.178025421028444875e+00 4.856342253346783260e-03
9.640884454219013078e-01 5.037287513163192162e-03
7.837338590511591097e-01 5.207573958595012459e-03
8.345550860478575528e-01 3.240932412021464443e-03
1.126738760783358329e+00 5.870985017058188635e-03
1.176293607984334688e+00 3.388062346909423775e-03
5.533289438859702036e-01 7.232504177841841790e-03
5.098654068861028232e-01 2.800214550485503624e-03
1.131859541385038970e+00 7.396792432196861757e-03
5.519927383943757926e-01 2.312337076002362202e-03
9.532440116505593863e-01 4.702186564122820631e-04
1.017400892066760765e+00 4.174028282554233249e-03
1.354164923607019677e+00 9.658017976917645381e-03
6.738901284823888282e-01 2.123313590003630090e-03
9.060366956962115914e-01 2.255432910509049807e-04
6.501820305746131012e-01 4.519991428156309998e-03
1.353962476563107309e+00 3.292057327841520133e-03
1.157531452050581944e+00 7.605786899622752825e-03
1.104642298678877754e+00 3.962063655694398668e-04
1.082114477676428432e+00 4.234782227627499618e-03
1.257707447132127232e+00 2.718648903544832428e-03
1.017394592694728761e+00 9.276197394844818214e-03
6.339573314205094734e-01 7.110643161409281815e-04
7.464373411433973260e-01 1.664460608428254161e-03
7.798208787473105419e-01 5.354986873150281192e-03
1.248665730557426912e+00 3.887122086791081933e-03
1.349677855108091462e+00 8.222778793189456856e-03
7.466673558791276921e-01 6.720140338853602610e-03
1.305232922356508674e+00 6.306903316795340816e-03
6.862621985851128370e-01 1.212403527963281736e-03
8.348421499161396975e-01 1.722028343067235224e-04
1.111145046490030985e+00 9.530161768909870337e-03
9.922215736633998029e-01 5.707772286799831125e-03
1.430346920255628262e+00 4.787061344360439043e-03
6.795052847597133905e-01 9.247973482389904758e-04
6.708351263343478310e-01 1.325186088515064101e-04
5.611340770265211830e-01 4.618993591380749116e-03
5.238965588748163427e-01 6.787046963771822469e-03
1.311785472819772203e+00 6.173249844825085333e-03
7.422029376153382874e-01 4.988241695977248952e-03
1.116219988380403816e+00 1.478746528644386479e-03
6.412580664553497733e-01 2.090819358236247795e-03
9.807017878959963797e-01 7.262308422819667604e-03
6.986788778552704970e-01 1.400933608748298554e-03
7.896998704823606774e-01 9.231526902207831328e-03
7.516719445763228036e-01 9.286002090749635035e-03
1.345148315200572764e+00 3.282329842370702334e-03
5.939692423783268227e-01 3.137874571886775047e-03
1.194679488329387418e+00 3.206594350270524935e-03
1.149795686300387310e+00 5.643982402343913907e-03
5.134115708284630042e-01 6.195120602240095607e-03
7.602428556335349974e-01 1.851390098803115496e-03
6.539445998041467645e-01 4.480102950532638406e-03
9.213176059297476517e-01 8.371127070121987118e-03
7.202151730350007108e-01 7.223643749593263623e-04
7.880500861105682597e-01 1.282858538032332664e-03
5.939536636491022925e-01 5.940239814589950117e-03
1.391242259859315045e+00 2.570448407630094526e-03
5.530558919276858942e-01 6.382494845277436428e-03
9.239637605925644648e-01 7.660184746814775389e-03
7.604859015886598073e-01 9.959194178634537056e-03
1.453834015238652855e+00 7.473081335732996433e-03
1.404012315916155051e+00 4.240556023411760195e-04
7.093652049054071096e-01 3.619896594904936562e-03
1.198698889890903896e+00 8.113453549277512434e-04
9.272457421164685964e-01 7.151000330395437810e-03
1.258895403639321398e+00 9.711970488161228779e-03
7.282350872994316493e-01 5.225387780666950963e-03
1.208069172294369720e+00 4.193610003196897133e-03
5.620495701530902055e-01 7.352635466437136037e-03
7.034581256490526346e-01 4.703037388499884362e-03
1.098447688353915375e+00 1.996186065720172414e-03
9.077589049109643371e-01 9.981929983895215797e-03
1.251782544723672785e+00 3.758396420661119005e-03
7.783448667122886411e-01 5.534398621859624827e-03
5.769161942230270901e-01 2.549571282418628456e-03
5.944744379306846627e-01 5.071678624713457650e-03
1.430615872153116364e+00 1.600730053448776950e-03
5.862583895427515568e-01 6.523728503552437066e-03
1.313285288721731670e+00 4.284972686605917694e-03
1.349544547703323882e+00 8.564144020984916159e-03
1.436563085393288031e+00 6.456323090563731784e-03
9.262228326482728757e-01 1.732211534407904641e-03
1.289167116911487554e+00 8.217165987745068262e-03
6.235769162998654469e-01 2.026205942549143008e-03
5.827825333809432129e-01 2.291392848502160195e-03
5.273324193963453421e-01 2.871217869290274439e-03
1.265231824144362083e+00 8.554371449372934547e-03
9.311751725088059928e-01 3.784737535745871101e-03
1.190873568104569458e+00 6.628237807729438387e-03
5.726302658463638950e-01 1.865650045206685781e-03
8.987733676206870470e-01 9.204414489946214847e-03
5.210088380481586734e-01 8.021878530016375922e-03
6.525541396376580705e-01 7.150137948174934387e-03
1.439352801124393455e+00 2.136993928655219355e-03
1.406943890428601573e+00 6.723981018755216532e-03
1.144981262571014735e+00 3.062616166327344035e-03
5.665700118709796618e-01 1.899416805818372441e-03
1.061889713451757977e+00 5.024224653150251643e-03
1.318815257402518704e+00 5.756614051345573801e-03
1.175892548281062489e+00 1.546785534933165862e-03
1.122369333938405100e+00 7.350021880603488551e-03
1.124272712450840039e+00 3.036074809750613935e-03
1.496220802468974931e+00 3.561166084209760850e-03
1.072574864546615547e+00 5.026418214750973243e-04
9.156327349544751693e-01 7.304871430838568921e-03
1.347215635327546179e+00 4.586212984266540768e-03
6.209171901425115658e-01 5.033870497904964839e-03
1.394293281239370019e+00 2.285124372665785198e-04
6.361980923488644857e-01 3.941166541955531954e-03
9.214419620721868709e-01 9.221039580608113989e-03
6.835664928496159032e-01 9.057467459625987913e-03
7.688665189439588543e-01 8.697638595533865868e-03
1.327829480983914401e+00 5.801822129313500111e-04
1.369474445907313820e+00 5.860665696931150522e-04
8.696784392954188814e-01 5.927539780486028136e-03
5.240587524674954478e-01 4.598422338256956746e-03
1.355533917831202473e+00 6.777998705920772714e-03
7.394006892763023142e-01 1.050268905771740632e-03
1.138920506549079281e+00 2.399360057726551525e-03
1.214425516189946208e+00 7.835935240782209961e-04
1.388741067594769785e+00 8.202366772860411950e-03
1.312397880038587594e+00 9.247377958844551701e-03
1.031928165542953080e+00 2.230947635746468975e-03
1.406321584432749461e+00 2.116377087046789930e-03
7.675151920863250155e-01 5.850420288426794874e-03
8.974765423216984894e-01 9.940339631659253841e-03
1.471035551879018133e+00 1.771785146595661071e-04
1.220811892434136237e+00 8.912757348497451701e-03
1.065352323232460652e+00 3.119713944281480352e-03
1.468421681918096855e+00 1.636297388563260442e-03
1.480111488795017305e+00 3.469300691230183149e-03
1.051079022734311419e+00 7.967121619833563567e-03
1.058983975337768779e+00 3.648503241400199732e-03
1.103427556488585148e+00 7.388208580015319035e-03
8.828697331048165342e-01 6.327049405358590832e-03
1.301485124494214052e+00 8.608059629163279138e-04
1.203330667912530183e+00 3.392109532063216758e-03
1.235908974367102342e+00 1.708029523693886231e-03
7.244547052359113781e-01 9.985941851178745457e-03
5.186185040618380704e-01 9.195083193067544319e-03
7.409373041715919816e-01 8.834990735830987318e-03
7.547811995387125883e-01 2.269977153617643191e-03
7.395487736091023168e-01 1.647620574074688642e-03
5.629206619692738167e-01 5.741246124983908836e-03
1.032536745345242091e+00 7.551008393828185887e-03
7.774123395816053828e-01 1.564780680329687325e-03
5.363246186389853953e-01 8.304750630917715273e-03
5.552953668695875811e-01 9.238952164602460063e-03
1.151277413812136219e+00 1.158330106251608590e-03
9.525381909998185126e-01 9.565400599790876632e-03
7.627161039168410817e-01 1.103733520313219347e-03
1.423177020781173141e+00 3.300489389327828857e-03
6.033828611678250242e-01 6.851934452935724146e-03
1.339279236790096306e+00 8.655961829928270415e-03
1.272669476105087183e+00 9.271776137423009406e-03
6.269589780295613535e-01 3.231260260936623559e-03
1.085023081541280021e+00 7.855527870454320771e-03
7.240105926735560526e-01 7.673513704026357039e-03
9.675712474484213788e-01 6.733825622724812394e-03
9.669360890888218929e-01 8.482080937061030248e-04
1.278862679877017072e+00 6.730709725011829736e-03
5.820585005634978382e-01 4.537965536036287981e-03
1.342624186489646654e+00 4.434135800148796686e-03
6.454062946012690816e-01 2.445072087900100784e-03
1.056458193018453784e+00 8.991200331527151625e-04
8.237579447033291924e-01 3.845371042312534758e-03
6.630258031477792580e-01 5.066654284397943860e-03
1.313932932482582139e+00 8.314173051638168790e-03
1.261360251076554473e+00 6.834584892866149390e-03
9.603713802401505628e-01 2.568686245002954702e-03
1.196477717241507310e+00 3.105895802912790951e-03
9.913602193876037694e-01 5.454801448054389171e-03
8.484913120236228234e-01 4.071465601731586240e-03
1.466623194305261002e+00 8.866281591184332553e-03
1.046124998013166829e+00 1.150166498916628923e-03
5.063645158177150218e-01 6.333023287211403222e-03
1.085723869113756290e+00 4.061693870243505630e-03
8.299827512595221446e-01 1.185775246007803345e-03
6.052849384963303603e-01 3.597703140337717848e-04
5.993796650726342934e-01 2.414190311891113282e-03
9.440476631138412511e-01 5.015387120551628199e-03
9.979598783278181839e-01 4.886246017575950366e-04
5.673754814324237783e-01 8.961708892002429039e-03
6.190315463800755147e-01 2.885916526363713989e-03
8.262288061720743926e-01 4.793138179454651399e-03
6.601556331538405153e-01 9.591007009852324169e-03
7.113239761347368573e-01 1.097421242956484041e-03
7.931606097593549842e-01 4.870093696939228368e-03
1.398582457377952837e+00 3.102789320003330152e-03
1.095253191886142785e+00 6.688013927451672350e-03
1.124954280226150516e+00 7.294947865491314444e-03
8.187555120721567992e-01 8.045980045052199270e-03
1.260064579018004061e+00 4.491745977496626289e-03
1.034409601011170299e+00 2.989942980139228667e-03
8.992318536676329188e-01 6.474383924776522942e-03
1.147375595493560940e+00 1.787365716354309166e-04
8.619164662425389256e-01 8.158823394781820892e-03
7.361176300697734876e-01 4.821592655530481547e-04
9.057932329942111060e-01 3.651879779439002292e-03
1.123922580483827316e+00 5.118345238135141653e-03
9.740465011579206855e-01 7.549881605744324098e-03
1.221537335182429906e+00 2.497284399858990325e-03
1.387465090480041852e+00 8.477561304503227965e-03
7.430802709821390239e-01 8.806883276200517044e-03
1.126035607383000237e+00 1.807897461447802211e-03
5.544300968710582644e-01 5.821911315261218967e-03
9.642441695445768124e-01 4.523876609644480323e-03
8.182828056939600581e-01 4.555468993867959303e-03
1.089597001916885244e+00 4.285852432634159985e-03
5.550738201610221356e-01 1.647486693113623443e-03
1.481545953937300375e+00 4.027528730135706940e-03
1.403383939236741984e+00 3.618717761332693964e-03
8.565054579869801898e-01 4.512699217095405245e-03
1.448521550824416249e+00 1.496811747794867930e-03
1.418885405201236294e+00 5.304927251105746953e-04
5.195389752405892292e-01 1.562807095819736519e-03
7.997823176440194137e-01 8.212192641020044440e-03
1.304626519640054605e+00 9.406113710626284180e-03
7.867462236620937910e-01 9.180602240667283358e-04
1.193936617186032390e+00 1.680923255332461303e-03
1.453134826632101362e+00 8.984370990267087284e-03
1.367340320626298178e+00 7.230027106635935306e-03
1.075970787047757948e+00 8.687677067931737912e-03
1.401830427820497160e+00 1.645710596169456131e-03
9.877431452574013671e-01 7.224971524467843458e-03
5.382361992960702501e-01 2.971122344185869128e-03
7.678223562562525029e-01 9.541272556469181446e-03
7.536606179441790454e-01 2.832409027063765867e-03
1.127179940237144073e+00 9.000491192114613501e-03
5.157111862741207142e-01 3.045239178528318796e-03
7.718201635460291143e-01 8.545777078359092713e-03
6.589265633902088304e-01 6.794283686690030279e-03
6.712408177591192571e-01 1.084568354475231016e-03
5.487017395048761070e-01 7.663184859109934202e-03
1.112624705817401249e+00 9.024340318459405166e-03
1.080213868655707010e+00 9.087896761045433092e-03
1.414177238172548812e+00 3.326100875383953496e-03
7.713795070623945538e-01 9.407619284485864430e-03
5.516374377258351780e-01 6.560191215811994950e-03
6.053779709504225615e-01 3.642289234891831189e-03
8.380022994722267082e-01 6.075804904738721628e-04
1.496468851586165272e+00 5.879600067065097850e-03
1.205067844302410318e+00 2.789683685955606385e-03
1.452142783919788904e+00 7.061403637240202397e-03
7.415311071084731420e-01 3.571063977376870598e-03
6.143368299397967691e-01 2.950886292633083351e-03
8.745223553266491257e-01 8.845461608781284707e-03
1.031703325222065981e+00 9.085375337918161903e-03
1.066036830115204115e+00 3.967106785604603697e-03
6.309456463221819744e-01 9.718365717816758800e-03
1.211741099746539874e+00 9.510194639868910921e-03
1.360006873657868320e+00 1.825139121445493347e-03
1.151883557191695662e+00 9.074866646088348629e-03
1.237281156371024871e+00 2.017984597719030965e-03
1.309017000493795324e+00 3.851897491517999438e-03
1.029696020606914342e+00 8.334008854238812236e-04
1.384109491371258827e+00 1.355006873890344816e-03
7.990956457804286872e-01 4.408132150471244341e-03
1.242204715028936146e+00 8.910725375706085583e-03
7.462054786347953605e-01 8.398112455309763094e-03
6.387849815073989301e-01 8.247771524346110897e-03
1.252381045958915529e+00 7.567674756858292981e-03
1.075391969529973846e+00 5.969739974920179040e-04
8.379510334257402882e-01 8.721989531342795587e-03
5.516216368400933545e-01 5.703626863353841378e-03
1.208485512810791418e+00 1.022886517781214800e-03
8.983739031420235888e-01 8.248502871356536842e-03
1.179291436982014663e+00 1.789349316902286505e-03
9.400290132426586398e-01 5.562072209523787579e-03
1.058746572890342907e+00 1.370258861377527749e-03
1.028118627947304464e+00 5.346674100849170422e-04
7.357148293856881072e-01 5.545974815156368143e-03
5.514693396128802494e-01 4.368479809937470155e-03
1.400650605340631571e+00 5.068232469287295427e-03
1.153498626732490706e+00 5.796503633106790676e-03
9.625945086036640230e-01 9.822707955252174203e-03
1.081082030640646341e+00 1.590664434028174175e-03
6.902905919509201293e-01 4.528810143706058639e-03
1.028968247545496872e+00 2.948368154094537300e-03
1.484061219251017860e+00 3.480347191940577536e-03
5.167792620061167908e-01 1.694399405568690689e-03
7.480359761667574325e-01 5.733804316467356124e-03
1.388304048645093935e+00 7.737498321239887761e-03
5.360871271798169913e-01 3.157311959635956088e-03
1.453888234780817523e+00 7.480346196741175131e-03
5.696720725421261511e-01 1.842232950610895844e-03
1.292036757655085966e+00 5.019101534049970901e-04
1.420270144088803477e+00 7.011450142151552482e-03
8.823763351907248920e-01 4.704785740330653075e-03
6.911537587365237378e-01 9.950408195393463124e-04
6.342569415236628538e-01 9.747489968837729033e-04
1.266833933705287629e+00 3.996907059593126504e-03
7.586245256035989426e-01 2.950383170518688144e-03
7.662724409243480972e-01 7.077168390457612424e-03
1.323222761124519309e+00 4.399872795983169986e-03
9.774476429326901528e-01 5.787264044393400711e-03
1.083094947105912143e+00 2.489999203253500087e-03
6.579272156834597984e-01 6.790731467369740502e-03
8.234739323081476936e-01 9.953716541057143138e-03
9.105154925260398047e-01 3.089407399082176771e-03
7.875412705180662165e-01 4.503166642101956961e-03
1.478001092426068697e+00 4.842407891655521948e-03
1.282777711772371987e+00 1.036098921886281126e-03
1.227838960639902943e+00 6.585407000930852336e-03
8.904123796889096276e-01 9.925634669791218168e-03
9.530125247618168594e-01 4.868748381497237446e-03
1.173326982658208451e+00 5.556806936571938131e-03
5.911655245905337308e-01 2.624491926449386888e-03
1.374022445042225371e+00 8.451764190170980157e-03
1.441214663656343653e+00 1.488246018107222245e-03
1.350207560266512452e+00 5.864953845721148501e-03
1.170337624892565431e+00 9.526174756253124676e-04
5.189181441020225272e-01 6.820443375701265923e-03
7.718178967031900095e-01 7.039303408038112206e-03
9.845700759359423682e-01 1.983248549419787399e-03
1.440804207115339075e+00 7.726976978744166426e-03
9.719086321522336647e-01 9.678460022331917840e-04
6.383400016228162333e-01 1.941946491186253513e-03
5.886179112695877347e-01 3.602489495329956257e-03
7.212551105389165551e-01 7.006684034782726181e-03
9.047468346154146079e-01 4.934723886480522036e-03
9.773545497803591831e-01 7.721248961634513339e-03
1.256927709512249303e+00 6.059276543878616347e-03
6.106192472543380267e-01 2.783264966329124929e-03
9.620821463493175463e-01 9.926846231525524034e-03
1.382657997041024434e+00 5.756841317803743779e-03
7.718838028267706042e-01 7.905284284536590739e-03
6.004330954308877422e-01 5.784572630871207682e-03
7.088066648265896053e-01 6.600296908829694081e-03
9.670370086428757839e-01 7.357637033162354144e-03
1.191000155752272249e+00 2.298586997515940974e-03
1.134268243165626355e+00 9.351778118905805168e-03
1.233103215756528925e+00 6.028589683204206746e-03
9.164092131679293374e-01 4.010188136188905239e-03
1.050189836173657465e+00 1.176610127490252755e-03
8.899497880489815049e-01 6.475515784946131144e-04
1.315251704544863731e+00 7.649854148220407504e-03
1.175097674617935350e+00 7.099945089792198717e-03
7.306045049313840689e-01 9.162963534984688158e-03
5.303684020776254782e-01 5.098190556250534189e-03
1.040669598353024750e+00 4.973330856415118708e-04
1.171029767833906554e+00 5.904019287514127023e-03
8.640724423761736439e-01 1.249535205325435225e-03
1.467993621808271421e+00 2.009571199578028076e-03
7.741761067341064173e-01 7.579647974311781548e-03
7.191105594171400828e-01 1.965530842270616588e-03
1.288625954757375514e+00 5.690849861637112782e-03
1.302511378077146675e+00 6.370941248428497149e-03
8.809990781170159435e-01 4.118062181234882595e-03
5.195336221217993211e-01 4.260911485497082679e-03
1.389278149335090973e+00 2.072128411578592292e-03
1.086652979195882107e+00 7.863270021746870259e-03
5.211771920147578729e-01 4.065598990435881875e-03
1.336805365905997967e+00 5.521188463811374514e-03
5.316754800537832892e-01 8.571815004479418562e-03
5.517326226796085420e-01 5.102553114450824809e-03
8.796471968534187447e-01 9.404119697892076440e-03
