# κ κ_c g ΔE
3.415517370603003222e-04 5.355314980583758251e-05 1.468705956823372974e-02 2.166845812448321862e+00
2.243023697142599747e-04 5.147656762161453977e-05 1.414571333674065345e-02 2.247759357417891124e+00
9.240463106234574932e-04 9.655212494868593951e-05 1.076202242225257795e-02 2.373245488657266034e+00
4.783497267251430457e-04 2.019976178936176302e-05 1.404247726261095147e-02 2.071447742131021563e+00
4.799630954128274044e-04 5.245129929209889276e-05 1.285513291889657343e-02 2.364655466822365160e+00
2.596426568356811470e-04 6.818168321484063539e-05 1.393054960517662449e-02 2.110526983383446353e+00
6.531879396974813465e-04 7.718856709769324762e-05 1.214059976947620342e-02 1.921059472175290717e+00
1.083108538197422960e-04 6.622199210833634947e-05 1.060599518234349274e-02 2.239141447041721023e+00
5.112976888610816419e-04 8.233580170715414461e-05 1.298775179321670810e-02 1.988246115003299952e+00
9.408524104920209597e-04 1.999734145928970189e-05 1.084569607124525291e-02 2.359155022588286243e+00
9.175951020373211914e-04 3.741875172112081615e-05 1.176097357815229089e-02 2.299950184572331136e+00
6.661361872922118028e-04 4.972508716975977553e-05 1.208171304230028220e-02 2.226798002679113431e+00
4.939487556674378253e-04 5.522879502737940675e-05 1.098951019664571455e-02 2.038529695939103714e+00
1.170574195336740372e-04 5.103096696605782741e-05 1.022192721939891441e-02 2.219236658777987703e+00
4.342747087100631929e-04 2.919486516275998108e-05 1.350727389057309463e-02 1.931747819672620770e+00
3.524486753008442669e-04 2.433175741912332242e-05 1.219267624501253408e-02 2.069436620455272102e+00
4.080007260741806479e-04 3.182455506423338535e-05 1.333856846254285154e-02 2.279889986882693176e+00
9.553676813805786310e-04 4.550115805586765294e-05 1.022720780178835824e-02 1.940718923415056807e+00
3.220642962365151884e-04 4.043207920261107847e-05 1.033183025143078262e-02 1.841088106951875414e+00
1.563705722299127280e-04 5.687203524674192001e-05 1.113331603069094705e-02 2.039755818368746532e+00
3.017005902735743375e-04 5.582441383251677706e-05 1.204982583394287494e-02 1.959982049781637814e+00
3.490847708233201516e-04 7.747242274669751782e-05 1.071303625146053165e-02 2.276823228147264899e+00
4.904311161519540972e-04 3.694832407576738743e-05 1.432436461964715219e-02 2.307865622607244038e+00
7.891704187071670908e-04 5.442857687413188628e-05 1.232766291167090682e-02 2.178320154873316650e+00
2.380134649928652025e-04 1.898190243344881326e-05 1.074248851383432894e-02 2.344739401709397431e+00
6.555558291223945958e-04 6.109780559227397502e-05 1.031942980326823120e-02 2.161089420580054821e+00
9.838339655180146446e-04 1.765165298063894493e-05 1.149276886678659258e-02 2.391300803577447454e+00
2.444381977652862231e-04 4.519385830020063264e-05 1.135893531487142984e-02 2.222061005116985566e+00
9.027093414606569702e-04 8.623074256540526230e-05 1.481604651399137489e-02 1.892789487060837716e+00
9.850693645953097644e-04 8.046267799347286346e-05 1.323726500817900067e-02 1.826652343168056802e+00
5.438931204155112668e-04 8.944364210268607542e-05 1.402720197990351553e-02 1.948908675046186811e+00
5.085732740922330793e-04 1.060552391228571254e-05 1.344342302190525661e-02 2.210214932906859442e+00
6.520148063731935010e-04 2.577979885938190964e-05 1.025740712379165885e-02 2.196017495290398358e+00
9.343019787469699841e-04 5.546838268726984465e-05 1.211726985972228984e-02 2.179574253846214393e+00
3.913116036368293588e-04 9.771120274191189556e-05 1.406807139252609293e-02 2.268897882007841815e+00
9.369806168431179432e-04 3.584834761895748354e-05 1.137509333089395565e-02 2.209015842294561160e+00
3.705864908125441502e-04 4.088251166807014268e-05 1.443888472483178566e-02 1.895930901828182469e+00
8.351310780091628473e-04 6.812815845149280752e-05 1.488974305085515037e-02 2.062690808657998254e+00
2.594470652367934500e-04 4.711653808901550478e-05 1.416150001353144380e-02 2.092868277187305281e+00
8.109289000324165818e-04 2.243149225831555360e-05 1.120481355253625383e-02 2.125011415391264258e+00
6.905791012912244073e-04 9.454406376379636168e-05 1.260545257527458281e-02 2.038694927848932359e+00
9.619893444851897310e-04 4.431724473512100627e-05 1.122443549273437376e-02 1.800475173775929916e+00
9.752329345326293721e-04 4.682442597702135437e-05 1.465546940378250132e-02 1.881447159357910071e+00
8.645377458817700509e-04 9.078119904987494123e-05 1.021522676843856191e-02 2.083640037752072516e+00
2.011045599688954352e-04 2.603772568643941525e-05 1.086152670122091969e-02 2.185977518266063235e+00
9.520990165297796943e-04 9.047820760720197484e-05 1.499491043876816088e-02 2.295901613017346854e+00
3.677178741484442119e-04 7.473395849690138697e-05 1.061024966861333005e-02 2.233711341422661256e+00
2.183410434642641860e-04 5.024405043707891327e-05 1.327285612781918187e-02 2.258895485345004062e+00
5.606765633815436432e-04 2.791941324860722402e-05 1.262957239935476837e-02 2.248008110597402354e+00
7.937853455856318111e-04 5.519420825929940034e-05 1.357201574029250762e-02 2.239522395732505444e+00
3.163896495246968678e-04 3.578114796257902627e-05 1.431563310291866786e-02 1.820496029126910997e+00
1.642134658245427521e-04 3.745594423275644988e-05 1.177830513589827113e-02 1.913675861784758014e+00
6.114286417657775795e-04 1.823132300727680483e-05 1.447180409220318736e-02 2.041840616012791987e+00
9.742309301960169754e-04 9.527133591352177370e-05 1.241708890349687081e-02 1.845723051429481787e+00
4.664682763394751132e-04 9.435715196412135860e-05 1.043938965619100288e-02 1.984077658774382469e+00
4.077772865884544745e-04 2.972347173322620518e-05 1.244611750733524980e-02 2.331640084808682456e+00
1.345936910386609086e-04 5.595752706975351694e-05 1.072294199604184942e-02 1.959769106728717070e+00
1.639244230312715230e-04 4.535039157804831824e-05 1.351734050265507130e-02 2.354331079810418892e+00
6.904142641480404434e-04 7.376609981649801494e-05 1.340140286801774945e-02 1.883137144691980680e+00
3.519364186605237425e-04 2.321703376089988302e-05 1.329623500982055583e-02 2.269429241430486854e+00
9.685104481245255604e-04 8.647056434660815882e-05 1.096397808765673873e-02 1.993967624302538821e+00
3.353259620324433783e-04 9.773641327559866668e-05 1.073824499772667827e-02 2.248167950217008659e+00
4.047798900593259060e-04 4.549984180513849419e-05 1.323854096743023664e-02 2.311181613308663785e+00
1.695061118980716324e-04 7.530124073347909308e-05 1.266704215847658070e-02 2.132766535990015200e+00
5.259588160711794720e-04 1.614822121672650833e-05 1.330214235627857552e-02 2.128162540205784659e+00
8.833635727373547950e-04 6.772125922080806499e-05 1.340358931430562887e-02 2.205153204900548669e+00
1.671043352900718616e-04 1.627742830685781502e-05 1.299729115800122257e-02 2.127362250117570408e+00
2.205191980524137370e-04 1.663844669055757508e-05 1.409591216417526056e-02 2.164629963588024619e+00
5.519453058964692623e-04 4.433174200422351226e-05 1.427147809667489095e-02 1.982534268020444301e+00
3.517834071165407725e-04 9.555233922437251907e-05 1.391053120623130315e-02 2.109550144601917587e+00
4.581296644241294753e-04 7.053929367578723063e-05 1.108995617150563412e-02 1.837576059559668629e+00
2.629702823347974255e-04 6.374962030542643849e-05 1.027318734619607488e-02 2.012343197106698067e+00
1.994645172939282329e-04 1.302514843945443157e-05 1.021982341746841862e-02 1.869161702062321462e+00
3.435469173314570726e-04 4.180958086072131030e-05 1.155903908691341929e-02 2.029797471991167335e+00
1.026588660779076249e-04 8.286905155005457155e-05 1.387358933021399891e-02 1.888868348651166373e+00
3.793382377128694141e-04 6.771124688679025700e-05 1.298604781348633094e-02 1.807159572165453865e+00
1.459300054794176538e-04 7.102652400654423147e-05 1.256691949210124275e-02 2.146011777459036818e+00
7.182582287805975955e-04 9.405631879428714710e-05 1.167113350387447186e-02 2.158336196077016211e+00
1.417898535507557578e-04 2.409727338123034254e-05 1.386682035078072930e-02 2.012178134338094448e+00
5.526903016845829096e-04 1.827202142218231677e-05 1.248304101229527271e-02 2.299631315362118400e+00
4.638611506888924989e-04 6.549232500099312051e-05 1.313887662296340207e-02 2.320805872539110304e+00
6.404176743721981709e-04 4.243959465016940158e-05 1.206763290987837405e-02 1.992729771218061385e+00
2.902824359118782592e-04 7.885012110514604520e-05 1.015296611795079608e-02 2.289931132469982700e+00
5.077141070526697188e-04 1.862828533115581283e-05 1.351825262140679551e-02 1.933269859980328409e+00
4.538774306170040144e-04 8.539377914862681610e-05 1.282898191278967516e-02 2.395414635302102191e+00
7.897613104269206492e-04 7.002822485992499246e-05 1.328985495782905937e-02 2.138981671773506399e+00
3.837940860295202777e-04 2.114540267616001976e-05 1.086569375391764278e-02 2.181056728009497903e+00
8.230259952261500958e-04 3.092033005404586364e-05 1.249641954913787920e-02 2.015940041507998437e+00
1.444302664168490831e-04 6.919473359172441016e-05 1.164275440431436145e-02 1.920926267566738899e+00
1.910022588543940677e-04 5.260001988031707626e-05 1.448936167911104786e-02 2.332785066443246347e+00
1.520194298133562753e-04 2.711587155387764589e-05 1.310000613149858023e-02 2.212467197238035865e+00
6.980277196439085277e-04 8.826500082287598375e-05 1.014565661639153619e-02 2.271024667849859124e+00
3.380342621880275513e-04 9.241884915361535174e-05 1.253572172021317002e-02 1.998981530606170232e+00
7.236103917058810207e-04 7.250455723605486128e-05 1.223579046641075363e-02 1.965147085167226804e+00
9.645358629959451934e-04 6.922856291402791293e-05 1.164220447458839264e-02 1.924089264292465185e+00
4.277709050342422162e-04 2.231012461255536645e-05 1.276636751623142808e-02 2.332185585270283745e+00
7.692025647970169612e-04 5.957494702871626651e-05 1.176012149787928479e-02 1.802419017333346751e+00
4.759206109482630735e-04 3.047151940852027015e-05 1.298137373622511304e-02 2.087773001754845925e+00
4.823247711599653784e-04 2.826308408381183665e-05 1.027188141839016286e-02 2.304637840066317889e+00
1.204010964925647943e-04 8.701057140485682980e-05 1.150366762444729463e-02 2.162047535464549863e+00
3.993746698428037576e-04 5.821153736647320697e-05 1.165458964021449766e-02 2.191148931637249220e+00
4.025271379081760527e-04 5.417340462800814661e-05 1.296052915557810783e-02 2.216584430872896139e+00
6.837374303393797077e-04 7.303356876728621556e-05 1.233632403268027956e-02 2.028574657870330089e+00
5.803962794475452406e-04 1.627205169393397709e-05 1.067870098133954712e-02 2.184136960729590182e+00
7.467134899528774005e-04 6.379698892311184033e-05 1.468537295158698665e-02 2.239894281336057169e+00
8.108357920992312427e-04 1.677908328424612737e-05 1.237229727291231339e-02 2.338435357054722274e+00
4.995477647503610528e-04 4.653089480057154574e-05 1.384545531115474737e-02 2.253839661029921615e+00
1.018689567216924231e-04 8.789654808470643123e-05 1.083174901460867527e-02 1.921817921647100302e+00
1.425600810476739064e-04 3.151176033635271352e-05 1.151343757268884216e-02 2.356342156010373223e+00
3.100875061486862917e-04 1.161270908380259487e-05 1.172918036691831915e-02 2.282026545689227248e+00
1.098240214559051653e-04 3.271932345134914266e-05 1.311552160511311391e-02 1.888791492224316970e+00
8.950784735999979752e-04 7.912999658929102513e-05 1.013392037443914401e-02 2.330061647277165360e+00
9.865027173008352607e-04 4.827220038995533595e-05 1.022991402161162189e-02 1.900339981296943925e+00
3.186486091032143071e-04 1.316602284087516934e-05 1.084244845024580524e-02 2.320224841938801408e+00
3.776479132854832074e-04 1.735723946557465842e-05 1.090147530579085866e-02 2.263724894141622812e+00
5.460130698669069969e-04 1.185161867335727048e-05 1.287254615872697461e-02 2.029195746535821687e+00
6.597038523009965795e-04 3.981533081561575680e-05 1.069967867148982274e-02 1.891757938722781196e+00
9.333221205915366407e-04 4.446829522429046410e-05 1.370351412194343102e-02 2.255618323761107824e+00
7.213113652730433452e-04 5.771403912556258867e-05 1.348127159608415900e-02 2.161421638538579160e+00
9.763814954591012790e-04 7.360538019776260673e-05 1.409932017914628313e-02 1.860598840497570849e+00
7.258600601827320002e-04 1.638221125441883153e-05 1.025227354134340338e-02 2.004546423784276499e+00
2.374174445763525864e-04 6.639802243666439389e-05 1.352733450183507199e-02 2.123770930165962856e+00
4.454362138333055636e-04 9.725629531999054034e-05 1.135830067937170298e-02 2.154712402810489369e+00
7.215848976026940443e-04 2.198615566719032565e-05 1.280503167911655263e-02 2.178443592386079430e+00
3.689062953901802605e-04 4.239288841876740974e-05 1.099035191283421337e-02 2.090309378210712943e+00
7.072827010179808015e-04 2.914210931227507898e-05 1.272498888106838796e-02 1.863438063045309123e+00
3.473861672536926503e-04 9.850649894886203935e-05 1.154583232930169595e-02 2.278290994329049912e+00
3.829704282882243310e-04 8.916197227497527490e-05 1.436684184500531050e-02 2.051240726618256183e+00
1.812918632847087836e-04 1.263212787312458704e-05 1.263482506633912573e-02 2.371328563780672027e+00
7.081358550960060831e-04 1.981126626823023328e-05 1.126679019809122100e-02 1.885041163991251878e+00
9.819415159763582746e-04 1.418302239456832619e-05 1.373242304784707754e-02 2.248816186688164631e+00
8.841471679303886198e-04 2.506880047992442905e-05 1.002669373794352718e-02 2.207904339003060379e+00
7.661004753125753505e-04 1.103440159301166611e-05 1.114619646900883755e-02 2.144440332157786955e+00
8.679465776745389285e-04 5.156682839610047582e-05 1.474876623996096772e-02 2.270625781915595276e+00
4.119263199673781810e-04 7.343383270498063874e-05 1.461475063297117821e-02 2.016051663109978520e+00
1.028681856898148344e-04 8.559701792917572276e-05 1.351286866412710307e-02 2.036372496104572161e+00
5.442497810159913681e-04 8.153066250749150764e-05 1.297365873353705130e-02 2.096946196119275907e+00
7.169649342810112272e-04 7.368386191963465621e-05 1.339887786394535797e-02 1.993410632870551646e+00
6.620448479727519993e-04 7.416845315991425498e-05 1.321789884530017237e-02 2.292648235896505682e+00
8.908370410964416885e-04 3.680044147980585133e-05 1.072371036054406424e-02 2.387184934766283018e+00
3.608644782214021139e-04 8.338377428145179093e-05 1.408364356972768155e-02 2.240449051226993227e+00
3.581668189783319685e-04 4.089565696391392091e-05 1.347246637518533137e-02 2.126823763377913679e+00
7.164415245748977958e-04 8.221248344113657447e-05 1.162422818128857130e-02 2.030226815869939472e+00
9.754158021463148502e-04 1.899842664980457338e-05 1.344534834970034266e-02 1.832706290022925399e+00
4.451179582407040983e-04 9.732617859323000392e-05 1.433448921897006144e-02 2.008035667495601029e+00
5.792464859128135159e-04 2.327643909222151813e-05 1.116243337528863809e-02 2.008759547253751609e+00
2.089339770173384656e-04 2.106629822205571774e-05 1.261622111106204189e-02 1.845663573586912909e+00
1.076817595377303733e-04 3.010914389209494798e-05 1.339545478764067599e-02 2.334898272641931616e+00
7.478639260724138276e-04 6.250706045970811167e-05 1.236442062693070623e-02 2.293772983842208735e+00
1.867591231292290268e-04 8.202928055001309506e-05 1.221459417186468270e-02 2.056940581201436746e+00
3.423265621576164659e-04 9.794864933041650746e-05 1.027284077950138888e-02 1.817354857624596809e+00
5.607443918035061531e-04 3.093535105717589752e-05 1.102680938132744037e-02 2.008862486489532806e+00
9.578247583651993292e-04 2.471269301456802369e-05 1.012275230348195880e-02 1.894299670939378233e+00
9.109966454616606453e-04 2.301618866154122125e-05 1.027797136495224931e-02 2.232462506002635738e+00
8.541578001650894890e-04 3.266295110829574554e-05 1.139638222148082851e-02 2.262100195592028129e+00
3.732445360431654283e-04 9.848546105107960111e-05 1.245971444756229299e-02 2.133513346929730048e+00
5.295629250644375095e-04 8.207591933136591951e-05 1.099697456144622075e-02 1.913916063328675143e+00
2.354426740848820292e-04 6.015528007919531913e-05 1.469705043822782872e-02 2.075370320129129809e+00
1.044499556709074838e-04 7.857992347878337361e-05 1.154153613225154806e-02 1.915106309447202726e+00
5.906384739327972958e-04 3.039677477307282445e-05 1.119167603251705265e-02 2.389758586569515675e+00
6.357293330653803138e-04 6.131268358756534944e-05 1.464034148569977670e-02 2.013332477834334888e+00
7.614455875162319792e-04 1.182176405222618711e-05 1.194026418518336422e-02 2.222662110979666039e+00
6.177434245011675321e-04 1.902350467470013951e-05 1.061325137288891482e-02 2.151776505105432058e+00
9.259902263541066984e-04 5.180762800550493325e-05 1.262462554998725235e-02 1.906742332084998104e+00
1.318003440249929060e-04 1.348640182649321608e-05 1.371790232733678151e-02 2.015410415718393633e+00
6.961234348057649497e-04 9.668881953703696791e-05 1.016636987738534989e-02 2.195064664887934391e+00
4.859571055486289963e-04 5.601669164388285954e-05 1.141061070572567566e-02 2.396762088133411073e+00
2.655866001027126951e-04 1.586758059860964820e-05 1.107867242721845974e-02 2.072440298098781053e+00
7.090858899666150836e-04 1.966457570437279837e-05 1.121893795457462421e-02 2.278990359789633935e+00
8.253925880381434484e-04 7.942239203862332532e-05 1.488832722340764116e-02 2.282881509724176361e+00
6.970030344688585072e-04 2.261147913422909548e-05 1.369053748870944012e-02 2.379185037070576048e+00
2.233424762791595751e-04 4.956026130507358026e-05 1.066069436488796714e-02 1.987027024149965460e+00
9.633263045760842146e-04 2.982542533920238967e-05 1.005405216802493854e-02 2.005047237376550218e+00
9.447302314170548604e-04 1.521824138209456511e-05 1.134661887288972854e-02 2.274240226422248323e+00
2.794165411896740170e-04 7.872110436029652143e-05 1.313113136589295731e-02 2.255536328291456449e+00
5.614211301045858409e-04 7.610386350807854462e-05 1.339675622042127770e-02 2.124143993185392709e+00
8.297263162413534478e-04 5.134004182530657102e-05 1.246250180433513405e-02 2.063108622689030280e+00
7.368448156876712240e-04 8.968750996557588184e-05 1.131669081711092137e-02 2.054270062643889005e+00
1.527358309526186781e-04 4.752227348734527511e-05 1.455136399698879826e-02 2.377129232218688326e+00
6.068916106679642488e-04 6.915374408727879190e-05 1.288109628045301311e-02 2.204683635148143139e+00
4.996618283075707385e-04 1.524449266761385842e-05 1.466648890617693914e-02 2.297664369154163388e+00
9.739120852223226432e-04 3.073365704210240544e-05 1.089403661720690988e-02 2.232556692181703717e+00
7.407558778692204101e-04 2.083043199875285971e-05 1.377233043668708162e-02 1.981628799873018210e+00
2.331730987617504987e-04 6.118104216159736997e-05 1.150763240159707879e-02 1.868075495819550902e+00
3.826481274389850100e-04 5.389461516431444930e-05 1.403957978696150632e-02 1.958448521817133026e+00
3.048742169407390903e-04 2.392542039206167241e-05 1.051228368298245779e-02 2.057014884094596763e+00
8.141810742653300811e-04 8.488910341351643143e-05 1.269492041861057172e-02 1.800348128441204842e+00
7.850262591983527515e-04 5.573535183138763309e-05 1.111988142393804772e-02 2.025118455113485538e+00
4.280875082585546107e-04 4.252436313004506437e-05 1.300102364494152077e-02 1.940202330869066127e+00
1.701496161013067992e-04 7.344421846020689822e-05 1.410072159927684698e-02 2.323347451067864000e+00
8.551652711514619223e-04 2.048008526673066791e-05 1.439251802651035639e-02 2.132627171931014587e+00
1.186619258623275550e-04 1.016096486711023830e-05 1.472679876911655618e-02 2.223490005209599829e+00
5.894346879686717311e-04 6.937159390752024684e-05 1.161942064162180266e-02 2.167115859123490029e+00
1.522965633021132405e-04 1.740669861017124081e-05 1.417079514925668679e-02 2.184179561792737090e+00
1.621476194505329328e-04 4.697770404112902657e-05 1.409998113640606975e-02 2.197681311770269375e+00
7.335498591815877529e-04 8.322925593909691398e-05 1.080513975307871230e-02 1.908606444725400975e+00
2.289733035885790718e-04 4.254604097145550575e-05 1.169644314110421766e-02 2.345574461500593344e+00
1.699773356212711743e-04 6.189702128715974562e-05 1.205556283784154845e-02 2.088677061535001656e+00
6.089808655137481964e-04 4.800097563774021495e-05 1.330810944281145616e-02 2.269361427309817714e+00
3.306609566928950250e-04 8.393165279803756998e-05 1.221839422305283189e-02 2.318169583621245256e+00
