# ℽ g
7.970602012205230125e-03 6.963193941638080343e-03
7.436296770749900760e-03 6.889221400879511070e-03
1.152300639926786673e-03 5.042246066802996956e-04
9.405686326725273480e-03 8.142064834307483848e-04
7.349874247247083214e-03 7.115618266894730044e-03
4.450779569759639835e-03 7.515165687061708608e-03
1.990080634231593867e-04 5.727239899707318267e-04
3.147714863448165638e-03 1.762944848797656523e-03
3.174693871664030693e-04 3.957231890383338530e-03
5.477778413871688644e-03 6.068737679121157143e-03
2.267582335173845033e-03 9.808405105431407603e-03
7.513853793990932922e-03 1.486507148929326312e-03
5.729121762402850267e-03 2.514484600030168771e-03
4.937934735958346942e-03 4.228825843704769535e-03
2.946170358685159499e-04 7.663298790308044513e-03
3.325464629346235480e-03 8.485091667926974307e-03
5.343696980350784269e-03 3.549828458182058798e-03
7.063094744739055811e-03 4.013573929643006119e-03
9.293028759785907852e-03 9.293064090059052415e-03
6.487980271365104828e-03 7.349511306505886188e-03
8.912378688287538389e-03 9.535128360126085556e-03
8.222007320790212029e-03 3.941783266641501332e-03
9.631830187946168256e-03 5.404989077665296737e-03
7.994984964081646231e-03 3.325448379521204773e-03
4.335819246474907629e-03 7.271771261795837403e-03
7.235996261293637516e-03 3.433064953263897934e-03
9.939707192711257425e-03 8.516130289956042043e-03
7.684346114666579936e-03 6.933693609897380317e-03
6.616277481568717464e-03 2.524374789540228137e-04
1.986180418555499112e-04 9.631743177811291634e-03
3.916013236447414905e-03 7.092231242132653393e-03
3.706514282780112857e-03 7.453655388395132031e-03
9.231897989774908928e-03 3.177824498551380401e-03
3.931438791789516321e-04 4.357480630617879477e-03
7.590888944238541151e-03 2.291153656948128692e-04
8.601092272819193738e-03 2.862977626806428866e-03
6.440316186010939907e-03 6.802098461251209448e-03
5.776581522662688119e-04 8.523684787009650279e-03
5.833820674316573911e-03 4.399726208820733779e-03
1.172390585672846309e-03 2.540060333159616882e-03
2.142288743660510347e-03 7.089737450546103499e-03
9.779510820689748737e-03 2.400904569205579951e-03
7.275859118394010713e-03 6.167786500185792713e-03
1.359010014983001670e-04 8.079375698296779526e-03
7.150905711758193117e-03 1.995303025141259654e-03
6.980271808707521654e-03 5.404720855649903372e-03
6.132057432026936580e-03 8.723926613363856136e-03
1.842981880439166281e-03 2.126684271837357525e-03
5.487018149518546606e-03 5.409527875685451147e-03
5.439968140920264060e-03 5.667317234432407355e-03
9.783958311060230242e-03 2.769733879223899766e-03
9.560309120875951083e-03 7.075855266649372539e-03
3.945191957521645108e-03 1.153499245637359732e-03
1.738152071361341719e-03 1.409571625315608843e-03
8.816649425221746023e-03 1.596896699412440716e-03
5.112955202607328241e-03 2.527377305597077514e-03
3.222235854129965158e-04 9.703347551796408232e-03
7.749088713640328585e-03 1.456969289355868492e-03
1.682142663582902355e-03 9.741859146662054311e-03
4.547915568438160288e-04 8.260097347803333975e-03
2.305967438081121638e-03 6.126439941344919565e-03
4.995624828899782738e-04 7.643300353795167215e-04
4.917036405866053068e-03 2.582860799347779998e-03
8.851795390382895257e-03 4.746756105082250606e-03
9.222347421710635042e-04 5.600312949805407586e-03
8.113067124517465631e-03 4.855603312873550854e-03
7.877640231258503656e-03 8.776807659727733132e-04
4.378727227609936767e-03 6.809678108031739369e-03
9.464946040497501309e-03 8.770181876200178542e-03
2.972361790594985932e-03 4.716730926252871853e-03
9.926033363322418063e-03 4.001764587711230912e-03
7.526216421840186115e-04 2.246211385405642424e-03
8.822870623171218856e-04 7.845656211228345042e-03
2.843480936197329521e-03 7.955392899783473790e-03
8.018326081993480681e-03 8.815336753238315476e-03
9.182473257346375137e-03 3.299512055848185122e-03
7.361509657311711592e-03 4.421666485839233739e-03
9.936415517702881089e-03 3.890649066871269737e-03
1.176434714186161672e-03 3.317093541566654494e-03
3.134237412068257775e-03 4.662636070986034276e-03
4.360400207772141025e-03 7.607965730581182744e-03
6.526841454273067319e-03 5.898920198778085343e-03
3.783371336532812251e-03 2.361437009353464051e-04
8.504345448248627412e-03 7.791904028670366966e-03
7.638001514076061399e-03 8.811568216086709815e-03
5.392626417970504751e-03 7.785597472221987211e-03
8.185301824622371117e-03 9.112212304993401804e-03
7.267585205013018732e-03 4.286041314391937813e-03
2.908060990612469296e-03 7.709212931758765638e-03
2.543952559127138184e-03 6.982044237980785870e-03
6.359721628033230927e-03 5.164714293335023743e-03
8.527402817444689961e-03 4.425152481836799531e-03
7.909712945815562321e-03 9.556474073366540839e-03
7.512059270681231520e-03 3.098649883144312649e-03
3.648015418725515744e-03 4.591069985879821062e-03
4.321295087532969759e-03 8.220167048331079602e-04
4.943087243327079494e-03 5.545526103239725203e-03
6.151614203612213588e-03 9.746209571067072572e-03
2.825016298670581395e-03 5.870803599031414709e-03
7.499428278499335396e-03 8.128148760822719032e-03
5.361943522438107623e-03 3.046468045745019410e-03
4.796833045555052265e-03 6.431105364710121806e-03
3.021035638157486096e-03 7.539034819919659958e-03
8.858399475504997881e-04 9.379464911382346878e-03
3.822719063371354418e-04 3.276310904227492955e-03
9.557464131387034822e-03 6.259942378771831718e-03
8.141259397447574500e-03 5.427679938508137882e-03
9.752696706080357311e-03 9.737858351257192013e-03
6.285666660314284671e-03 4.574171150172041608e-03
4.224599497490413337e-03 7.443909950109473157e-03
5.981656843732660253e-03 5.717267512905224204e-03
4.206309913198932361e-03 7.592271172873229883e-03
3.287364354925975413e-03 7.951674464199752143e-03
6.169246565347214981e-03 4.626301340255290287e-03
6.460321595214323781e-03 2.801950554528431954e-03
4.315369452714161620e-03 2.392106761008610909e-03
8.781756465902018291e-03 5.310919914210525741e-03
7.940905753994351168e-03 1.170542172094957102e-03
1.504309615687626648e-03 2.689529094440641036e-03
9.056258777485781675e-03 4.706942677318191534e-04
2.125026071950942511e-03 8.806587172883262662e-03
7.201766564043025898e-03 4.088512335907871706e-03
6.753323417870706231e-03 3.487149084551122331e-03
7.536181328115415350e-03 1.574723718807585814e-03
4.722711931307414096e-03 3.558874862291939740e-03
3.263239009966253761e-03 2.298617189262128300e-03
3.151298465389945950e-04 4.454477927186690361e-03
3.336410705846187645e-03 1.069077805389598637e-03
8.474823668684933198e-03 7.289231292077818711e-03
8.802396513098331710e-03 8.088475218070620074e-03
7.107318826274129468e-03 8.759894145569034965e-03
5.205762198925985122e-03 4.311431166356237930e-03
3.948158575997332519e-03 8.570486547025527729e-03
5.909147190651006278e-03 1.455768480986237626e-04
5.133995129158704269e-03 1.861602014621712656e-04
2.206270312697204694e-03 8.399471426897351170e-03
8.258103465040736099e-03 1.667725115495461178e-03
7.371777751968565037e-03 9.506454915596840652e-03
4.839907058116243760e-04 8.411883361000949827e-03
6.531945921802415587e-03 3.023654929224099761e-03
8.893270475774251588e-03 6.121733694199848509e-03
9.579371361201363677e-03 6.270628752027601963e-03
5.261232169898698643e-03 6.068012390444327275e-03
1.820141673754833772e-03 8.897982743566233352e-03
7.039404178760688517e-03 4.499373400733926165e-03
6.659256243131136434e-03 2.635228766074417753e-04
9.449705172507575149e-03 2.445844345982268846e-03
5.537966426511327844e-04 4.057503142800367515e-03
9.043688060857046213e-03 1.199690946395982416e-03
2.403038178050012803e-03 3.744060807580711948e-03
4.036526160401672329e-03 3.132122278024171164e-03
3.630679718637167940e-03 1.111583473453616562e-03
7.028291001512411602e-03 4.820278399698590954e-03
5.336075495134792561e-03 7.771528963277446944e-04
6.254541384696459330e-03 3.123118953710071668e-03
8.938074603525648140e-04 8.666456661820686261e-03
8.885390074747548383e-03 1.775223264710893377e-04
4.137211241531876978e-03 5.315863747832281008e-03
6.364094090961854196e-03 6.489273759130618872e-03
4.165013559066347432e-03 1.048537166152616398e-03
1.494821462506289254e-03 1.410849852297656106e-03
9.136423585189899430e-03 2.110798093790317628e-03
4.781628692163051274e-03 3.224332822714563469e-03
9.140650871588065773e-03 4.166817895138198551e-03
8.134772351072360602e-03 7.516445275196827636e-04
9.881202415807704628e-03 2.491318144462430478e-03
2.227302350978860139e-03 4.526240876631914579e-03
8.650793116611859429e-03 9.012645632099502632e-03
5.790460865637640439e-03 1.929521430183949457e-03
3.216259508022898447e-03 1.673970536148720357e-03
4.220012687027268825e-03 7.025460681036413977e-04
7.749295250228384682e-03 1.976706287053609130e-03
1.329504227024301283e-03 8.922538949856272453e-03
6.905758066437485410e-03 6.740963942671273496e-03
6.052997998243465384e-03 9.615010244065011480e-03
5.100166975021608318e-03 9.198583908134825779e-03
1.173591950256308190e-03 8.597635791723242911e-04
5.078331830018950437e-03 4.187146279329613356e-03
5.771267103864379834e-03 8.226599749270230300e-03
9.063352675192589553e-03 9.606563108175449322e-04
9.974695165411058551e-04 4.746296469676868253e-03
3.122289066321215761e-03 3.783284737868488571e-03
9.769133482550996714e-03 9.512104077398933141e-03
6.521930324002075605e-03 9.594523732054327514e-03
1.834592200842067927e-03 3.045163667653187547e-03
5.915786665077993681e-03 7.267977181206969686e-03
5.689181884865542570e-03 6.133982412068468386e-03
9.126966526297687968e-03 5.283533183331109821e-03
5.927226308780720460e-03 9.974856443331802519e-03
5.558915967583523063e-03 4.343099803091221567e-03
8.895368504633354920e-03 6.635647320688126821e-03
4.991989488615302360e-03 2.027844154704118874e-03
7.711260186011857122e-04 8.859876394829171997e-03
5.851931732051794503e-03 3.870748430019589625e-03
4.878322714623726554e-03 5.656853825674434087e-03
2.325235644388751383e-04 9.829420693666239203e-03
9.280220280709810046e-03 2.262557768124939632e-03
7.104382935653087575e-04 1.967664573272613019e-03
6.574222425422340810e-03 3.841625632769241506e-03
9.371600146039920504e-03 1.000278220019562092e-03
4.283632987697111490e-03 7.360532361681514091e-03
7.194057695336569585e-04 9.269764172548454473e-03
3.694025074779933634e-03 8.550908050411771405e-03
8.336848395848230064e-03 8.058376695242435578e-03
5.206961548811607672e-03 1.118257202458945547e-03
5.710796565057393642e-04 9.569291841336969445e-03
2.062288941080998514e-03 8.327051583925645928e-03
3.867175196879045224e-03 9.509736794109498181e-03
1.378741300703823988e-03 9.061616800577754899e-03
6.865757679479824946e-03 3.708867228506919356e-03
1.488684237158736110e-03 1.004774804855626102e-03
8.523182187503397164e-03 1.306198730339933447e-03
8.805885742542140029e-03 1.888907957505063951e-03
4.548232770792062264e-03 2.565486984212900917e-03
2.542989593984112603e-03 2.946263809172284479e-03
9.062479523376437696e-03 7.854827100985239258e-03
5.844138649302472489e-03 6.975309926668018211e-03
9.549885944098761769e-04 4.052841945841507282e-03
7.893961907012246246e-03 4.757410224457545760e-04
1.080861698070963682e-03 3.087562335202351845e-03
1.724628936542916321e-03 8.663048998679635099e-03
9.524562061327887519e-03 5.960031194718771672e-03
6.068556874409536655e-04 8.309856085909603229e-03
5.330411470213003260e-03 6.347705905547883568e-03
6.268576404339256183e-03 9.413078978661779507e-04
6.541193172578100949e-03 5.750184328428388850e-03
4.021490489646041555e-03 1.137390437870345889e-04
2.684300094703171661e-04 8.413055149281778791e-03
6.092315317370381768e-03 9.714188096313393361e-03
3.410989297492491266e-03 9.408592343241303562e-04
4.562508213065610135e-03 8.178672748790454666e-03
4.152695318638179728e-03 7.735188858886517076e-03
9.038136901878705831e-03 4.942903365633541900e-03
6.751625669659471786e-03 1.784256683022398095e-03
3.646576711032013546e-03 8.351950531409952413e-04
2.292694258303945142e-03 3.762308803741261278e-03
6.402488029326009085e-03 2.965848642297481789e-03
8.748826053230358835e-03 6.988350266467988894e-04
1.682256905103518422e-03 1.990505728883639261e-03
4.702749444721742063e-03 1.078223575272596602e-03
8.206156349139183750e-03 5.572792664402826182e-03
8.100904339859327230e-03 9.981804374909275870e-03
8.187394103819068542e-03 8.651340693701445664e-03
7.979666393703776020e-03 4.646788925976003126e-03
3.087934607767760676e-03 9.770110957193543430e-03
5.137277506177268492e-03 1.798312949422485119e-03
5.956984702627768705e-03 4.025724678261095348e-03
4.187678291249025998e-03 2.550143537794042313e-03
3.944992302690244861e-03 8.095485314107727162e-03
1.457657538366167408e-03 1.755828259608366781e-03
8.098676976199141453e-03 8.412245687484892417e-03
5.761768914709206393e-03 4.744808894094480409e-03
2.363372686077063953e-03 5.915707141388638511e-04
1.429826884221011875e-03 5.548909892970940554e-03
5.654974339724445735e-03 4.578903670221896698e-03
6.096676771197983603e-03 7.155366821404943872e-04
5.705937116645192105e-03 9.566332168634209335e-03
6.925925239621214240e-04 8.316954124347429589e-03
8.748558912115971323e-03 5.823694545273720193e-03
7.563910734300524977e-03 6.365311036193415685e-03
9.906828353327191625e-03 7.917908118359195252e-03
6.565459295929707007e-03 3.557067313803356692e-03
8.679308349711010312e-03 1.571339413178218358e-03
7.120993954286955821e-03 9.439641680374354429e-03
1.581239606711189226e-03 4.880378862112205729e-03
9.935243572723208988e-03 9.549018737582123245e-03
5.757811690434550510e-03 6.076137376579892821e-03
1.332522461587026894e-03 8.464489515569188424e-03
5.631447060065609966e-03 7.899866982434583518e-03
2.106893166794811777e-03 1.403807384520763509e-03
1.441616651557956407e-03 5.321354340030308092e-03
2.789077422095966301e-03 3.844624463093978140e-03
4.747416864169943899e-03 5.642200642617327400e-03
9.779037892322569106e-03 9.371033495396351512e-03
3.402834290194226268e-03 2.252586897994860327e-03
1.011127613559292034e-03 5.533731342667077072e-03
5.454318899240354589e-03 4.785441964169418437e-03
4.590255405925552402e-03 5.505816767560839722e-03
8.278851263769003432e-03 6.995630488910427845e-03
3.153672260077284954e-03 7.608826573137245954e-03
1.981214619299293076e-03 7.541806920883123953e-03
5.771125733866367194e-03 9.627888019852147081e-03
5.892810331039862251e-03 9.860641754966958591e-03
1.963007036272609168e-03 7.015146011069654623e-03
5.367866334407394788e-03 8.645434137162944649e-04
6.778846461037177015e-03 9.200017658652271182e-03
4.157249043738636858e-03 6.876724540466485659e-03
4.010822619406504211e-03 9.392120619169859810e-03
9.976696003219114386e-03 8.799873124627237073e-03
6.634957045603111919e-03 1.137313837549526951e-03
5.086627619586754114e-04 7.005911636490798518e-03
7.440915468434803302e-03 5.352632535333908675e-03
9.883306084883714329e-03 8.083216136336841828e-03
4.792636718541742023e-03 6.478431546083218348e-03
9.826982737021348197e-03 3.584629752986733496e-04
6.247499008464808823e-03 5.766294979344096204e-03
1.231098603779199946e-03 9.408594866787252375e-03
7.464786133087497784e-03 1.964774813601461671e-03
3.420894596762627873e-03 8.712340627083991346e-03
3.908976622203087434e-03 1.257122203530562036e-03
6.391473847973819580e-03 1.223231907316552156e-03
5.560104991675994535e-03 9.455924588989183047e-03
1.558969268235070550e-03 3.197433665892159948e-03
6.113386779806640435e-03 8.684666329361557732e-03
1.842778916710663102e-03 6.936977327714035149e-03
8.484995561369571004e-03 1.749632942444799815e-03
7.501965597296066969e-03 2.458121873870823103e-03
3.575579164941814717e-03 2.188322236697859587e-03
1.315429135195708970e-04 1.747628789864031371e-03
8.704979917804712281e-03 4.984884262198433294e-03
5.959142976952449232e-03 5.526313473641591804e-03
6.576206515962506466e-03 2.589236721437398504e-03
7.466900386026670104e-03 7.760568344057279869e-03
1.303183009471287545e-03 9.042229077078647870e-03
4.514526964860587736e-03 8.980901617383442448e-03
1.496234657498321779e-03 6.062920977560386226e-03
5.182432497800665110e-03 1.878255457372267128e-03
7.713982741495205818e-03 7.204921071438021712e-03
8.865897312711161840e-03 8.426665649827936103e-03
3.020383150073799056e-03 6.893304293251255148e-03
4.216728741489295085e-04 6.647316023744837162e-03
1.201236736846081603e-03 6.634630306287151759e-03
5.425520122978979946e-03 3.012208282139018905e-03
9.931616991698572969e-03 8.741005287649350128e-03
4.221866275096890046e-03 6.373970613683791787e-03
7.669540883077917946e-03 9.662143371321206195e-03
7.003314393612328562e-03 8.819795565575692248e-03
7.158333524263395080e-03 6.364500462839936664e-04
9.846816295052065668e-03 6.847741340536141023e-03
8.594801927287922666e-03 1.240070233216334717e-03
1.553387301649801749e-03 8.854750136996233575e-03
2.921196118542626705e-03 3.789472883258672258e-03
2.811699745775966125e-03 5.512123260997295673e-03
8.416438218684037936e-03 6.542192575317947421e-03
4.276182420962039432e-03 4.457051564705571435e-03
4.634471347616581603e-03 9.744327067960715724e-03
5.035464867811375624e-03 3.723210408953717045e-03
4.302688716778700455e-03 5.396420014883406870e-03
4.145717746447350263e-03 7.195612470504094554e-03
1.960460338565465400e-03 6.185976928424684503e-03
7.371770299618909256e-03 9.537103495248976060e-04
9.042413842704193766e-03 9.676477705151145759e-04
3.771014849360908479e-03 3.885202397166721746e-03
5.854894317708703340e-03 8.026248200877342037e-04
3.864521547355885111e-03 8.587431474665101899e-03
4.402637841411994810e-03 3.650119331829430099e-03
5.826671766959301037e-03 6.209836959992323961e-04
2.259833332205363633e-03 5.753679120546589462e-03
2.701388158727344949e-03 2.684900402255233076e-03
6.802368969213260473e-03 5.341169766868969146e-03
3.153636619802962018e-03 4.422921065716424287e-03
4.660280902013276723e-03 2.373728567014179395e-03
9.444107405259723545e-03 2.980240311030829450e-03
7.383666008455215361e-03 8.744557304430690750e-03
5.002032398706844456e-03 4.903616871256608924e-03
7.159972041237179161e-03 3.093309274066485034e-03
